Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Dávid Szabó,6.59,,7.76,,hu,(11.56) (6.59) 7.31 7.94 8.02,3x3x3 Cube Final,0,2024
2,Alwin Federsel,7.42,,8.10,,at,(10.93) (7.42) 8.08 8.54 7.68,3x3x3 Cube Final,0,2024
3,Michael Liubarets,7.32,,8.16,,ua,8.00 (7.32) (10.34) 7.66 8.82,3x3x3 Cube Final,0,2024
4,Taiyo Berčič,6.40,,8.40,,si,7.83 (6.40) 8.26 (9.22) 9.11,3x3x3 Cube Final,0,2024
5,David Vujasić,8.13,,8.69,,hr,(8.13) 8.85 9.03 (10.73) 8.20,3x3x3 Cube Final,0,2024
6,Marcel Ručigaj,6.87,,9.06,,si,9.33 8.95 8.90 (6.87) (10.81),3x3x3 Cube Final,0,2024
7,Bruno Di Renzo John,8.50,,9.40,,de,9.32 9.43 9.45 (9.71) (8.50),3x3x3 Cube Final,0,2024
8,Jakob Kitak,8.33,,9.41,,si,(11.86) 9.67 8.81 (8.33) 9.74,3x3x3 Cube Final,0,2024
9,Oskar Vidiček,8.01,,9.67,,si,9.44 (8.01) 9.49 (12.84) 10.08,3x3x3 Cube Final,0,2024
10,Matic Omulec,7.49,,9.78,,si,10.34 8.28 (7.49) (14.03) 10.73,3x3x3 Cube Final,0,2024
11,Ádám Szabó,7.93,,10.35,,hu,10.05 11.70 (7.93) (DNF) 9.31,3x3x3 Cube Final,0,2024
12,Anton Kokalj Pezzano,9.44,,10.66,,si,10.00 9.60 12.39 (14.44) (9.44),3x3x3 Cube Final,0,2024
13,Jakov Srečković,10.27,,10.91,,hr,10.82 10.78 (10.27) (11.55) 11.14,3x3x3 Cube Final,0,2024
14,Benedek Szepesi-Réder,9.41,,11.26,,hu,11.72 (9.41) (11.75) 10.81 11.26,3x3x3 Cube Final,0,2024
15,Tomaž Saje,9.39,,11.41,,si,11.40 10.88 (9.39) 11.94 (14.76),3x3x3 Cube Final,0,2024
16,Muxi Yan,9.26,,11.51,,es,(9.26) 10.11 11.59 12.84 (13.89),3x3x3 Cube Final,0,2024
17,Simon Mars,8.79,,11.70,,si,(8.79) 11.99 11.34 11.78 (DNF),3x3x3 Cube Final,0,2024
18,Bruno Ivančić,9.58,,12.27,,hr,(9.58) (13.96) 11.53 13.85 11.42,3x3x3 Cube Final,0,2024
19,Filip Barbirič Frank,10.79,,12.54,,si,(13.44) (10.79) 12.22 12.03 13.37,3x3x3 Cube Final,0,2024
20,Serafim Weiß,10.73,,13.74,,de,(15.97) 14.94 11.74 (10.73) 14.53,3x3x3 Cube Final,0,2024
1,Alwin Federsel,6.41,,7.55,,at,(9.76) 8.14 7.71 (6.41) 6.80,3x3x3 Cube Semi Final,1,2024
2,Michael Liubarets,6.69,,7.79,,ua,8.35 7.32 7.70 (6.69) (8.57),3x3x3 Cube Semi Final,1,2024
3,David Vujasić,7.14,,8.57,,hr,(12.31) 8.83 8.76 (7.14) 8.13,3x3x3 Cube Semi Final,1,2024
4,Taiyo Berčič,7.61,,8.94,,si,(7.61) 9.66 (10.10) 8.86 8.31,3x3x3 Cube Semi Final,1,2024
5,Dávid Szabó,7.77,,9.13,,hu,8.86 9.88 (12.69) 8.66 (7.77),3x3x3 Cube Semi Final,1,2024
6,Ádám Szabó,7.60,,9.19,,hu,(9.40) 8.90 9.33 9.35 (7.60),3x3x3 Cube Semi Final,1,2024
7,Aleksa Radovanović,8.09,,9.35,,rs,(13.44) 10.47 9.05 (8.09) 8.54,3x3x3 Cube Semi Final,1,2024
8,Oskar Vidiček,8.26,,9.40,,si,(8.26) 8.85 8.38 10.98 (12.97),3x3x3 Cube Semi Final,1,2024
9,Matic Omulec,8.40,,9.67,,si,10.12 9.10 (8.40) 9.80 (10.40),3x3x3 Cube Semi Final,1,2024
10,Simon Mars,7.93,,9.98,,si,9.89 10.29 (7.93) 9.77 (DNF),3x3x3 Cube Semi Final,1,2024
11,Jakov Srečković,8.56,,10.12,,hr,(8.56) 10.66 9.12 10.57 (10.98),3x3x3 Cube Semi Final,1,2024
12,Marcel Ručigaj,8.45,,10.16,,si,9.69 (8.45) 10.73 10.06 (10.78),3x3x3 Cube Semi Final,1,2024
13,Muxi Yan,10.24,,10.58,,es,(11.45) (10.24) 10.38 10.62 10.73,3x3x3 Cube Semi Final,1,2024
14,Benedek Szepesi-Réder,9.96,,10.60,,hu,10.18 (11.32) (9.96) 10.86 10.77,3x3x3 Cube Semi Final,1,2024
15,Bruno Di Renzo John,9.14,,10.78,,de,11.13 10.93 (9.14) 10.28 (11.60),3x3x3 Cube Semi Final,1,2024
16,Tomaž Saje,9.32,,10.82,,si,9.50 12.75 (9.32) (17.82) 10.21,3x3x3 Cube Semi Final,1,2024
17,Jakob Kitak,8.06,,10.90,,si,(8.06) (11.27) 10.72 10.85 11.14,3x3x3 Cube Semi Final,1,2024
18,Bruno Ivančić,9.30,,10.97,,hr,(9.30) 10.04 11.06 (13.57) 11.82,3x3x3 Cube Semi Final,1,2024
19,Serafim Weiß,10.29,,11.01,,de,11.14 (12.38) 10.85 (10.29) 11.03,3x3x3 Cube Semi Final,1,2024
20,Anton Kokalj Pezzano,9.94,,11.02,,si,(11.41) (9.94) 11.08 10.86 11.12,3x3x3 Cube Semi Final,1,2024
21,Filip Barbirič Frank,10.26,,11.46,,si,(10.26) 11.22 11.39 (18.52) 11.77,3x3x3 Cube Semi Final,1,2024
22,Konstantin Jaehne,10.48,,11.54,,de,11.87 (12.98) 11.83 (10.48) 10.92,3x3x3 Cube Semi Final,1,2024
23,Matej Brkić,11.09,,11.55,,si,11.18 11.71 (11.09) 11.77 (12.59),3x3x3 Cube Semi Final,1,2024
24,Stanko Perme,8.69,,11.69,,si,11.68 12.18 (8.69) 11.22 (14.60),3x3x3 Cube Semi Final,1,2024
25,Nemanja Vujnović,10.08,,11.90,,ba,(10.08) 13.25 (17.91) 11.28 11.16,3x3x3 Cube Semi Final,1,2024
26,Barbara Kralj,11.73,,12.20,,hr,12.24 11.83 (13.96) (11.73) 12.54,3x3x3 Cube Semi Final,1,2024
27,Filip Premužić,10.25,,12.31,,hr,11.41 12.16 13.37 (14.09) (10.25),3x3x3 Cube Semi Final,1,2024
28,Roman Sokolovskyi,11.22,,12.48,,ua,12.24 12.43 12.76 (14.42) (11.22),3x3x3 Cube Semi Final,1,2024
29,Riccardo Fiumefreddo,10.81,,12.66,,it,11.95 (10.81) (13.68) 12.86 13.18,3x3x3 Cube Semi Final,1,2024
30,Nenad Marjanović,9.98,,12.82,,hr,(9.98) 10.82 (15.78) 12.90 14.75,3x3x3 Cube Semi Final,1,2024
31,Tisa Megušar,11.84,,12.93,,si,(15.32) 14.36 (11.84) 12.38 12.06,3x3x3 Cube Semi Final,1,2024
