Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,5.77,,5.88,,ru,6.02 5.79 (5.77) (6.88) 5.82,3x3x3 Cube Final,0,2025
2,Dávid Szabó,6.36,,6.96,,hu,(6.36) (8.83) 7.00 7.32 6.55,3x3x3 Cube Final,0,2025
3,Gábor Slezák,5.13,NR,7.49,,hu,7.14 (8.42) 8.07 7.25 (5.13),3x3x3 Cube Final,0,2025
4,Thomas Strasser,6.80,,7.79,,at,(6.80) (11.18) 8.10 8.46 6.81,3x3x3 Cube Final,0,2025
5,Matej Marčok,7.84,,7.96,,rs,7.88 7.96 (7.84) 8.04 (9.56),3x3x3 Cube Final,0,2025
6,David Vujasić,7.74,,8.25,,hr,(7.74) 8.45 8.34 7.95 (10.89),3x3x3 Cube Final,0,2025
7,Oliver Fritz,6.18,,8.70,,de,8.72 8.76 (6.18) (12.18) 8.62,3x3x3 Cube Final,0,2025
8,Ádám Szabó,7.44,,8.83,,hu,(7.44) 8.53 9.68 8.27 (DNF),3x3x3 Cube Final,0,2025
9,Oskar Vidiček,7.63,,8.95,,si,8.32 (9.49) (7.63) 9.11 9.42,3x3x3 Cube Final,0,2025
10,Gergely Novotni,8.50,,9.41,,hu,(8.50) 9.45 (DNF) 9.48 9.29,3x3x3 Cube Final,0,2025
11,Lana Bedek,7.48,,9.43,,hr,9.35 9.91 9.04 (7.48) (10.94),3x3x3 Cube Final,0,2025
12,Simon Mars,8.06,,9.48,,si,(13.68) 8.96 9.83 9.64 (8.06),3x3x3 Cube Final,0,2025
13,Jakob Kitak,8.83,,10.04,,si,9.53 (8.83) (11.10) 10.96 9.64,3x3x3 Cube Final,0,2025
14,Anton Kokalj Pezzano,9.63,,10.33,,si,10.51 (12.23) 10.71 (9.63) 9.76,3x3x3 Cube Final,0,2025
15,Jure Gregorc,9.15,,10.76,,si,10.95 (11.55) 10.26 11.08 (9.15),3x3x3 Cube Final,0,2025
16,Marcel Ručigaj,8.90,,11.01,,si,(19.61) 9.86 10.32 12.85 (8.90),3x3x3 Cube Final,0,2025
1,Alexey Tsvetkov,4.90,,6.64,,ru,(4.90) (10.39) 7.91 5.58 6.43,3x3x3 Cube Semi Final,1,2025
2,Dávid Szabó,5.26,,6.78,,hu,(5.26) 7.22 6.52 (7.82) 6.60,3x3x3 Cube Semi Final,1,2025
3,Gábor Slezák,6.27,,7.34,,hu,(8.52) 7.29 7.34 (6.27) 7.38,3x3x3 Cube Semi Final,1,2025
4,Lana Bedek,5.92,,7.48,NR,hr,(10.08) (5.92) 7.22 7.13 8.08,3x3x3 Cube Semi Final,1,2025
5,Thomas Strasser,6.80,,7.66,,at,(9.78) 7.48 7.05 8.46 (6.80),3x3x3 Cube Semi Final,1,2025
6,Ádám Szabó,6.91,,8.48,,hu,8.31 8.58 (6.91) 8.54 (9.98),3x3x3 Cube Semi Final,1,2025
7,Gergely Novotni,7.68,,8.52,,hu,(10.43) 8.18 8.44 (7.68) 8.94,3x3x3 Cube Semi Final,1,2025
8,Oliver Fritz,8.17,,8.77,,de,(11.11) 8.39 9.41 (8.17) 8.52,3x3x3 Cube Semi Final,1,2025
9,Matej Marčok,7.38,,8.91,,rs,(7.38) 8.06 (11.44) 8.25 10.42,3x3x3 Cube Semi Final,1,2025
10,Marcel Ručigaj,8.46,,8.91,,si,8.79 8.87 (8.46) 9.08 (10.10),3x3x3 Cube Semi Final,1,2025
11,David Vujasić,8.51,,9.00,,hr,8.65 8.57 9.77 (10.28) (8.51),3x3x3 Cube Semi Final,1,2025
12,Oskar Vidiček,7.40,,9.07,,si,8.50 (9.48) 9.27 9.44 (7.40),3x3x3 Cube Semi Final,1,2025
13,Aleksa Radovanović,8.01,,9.37,,rs,9.52 (8.01) 8.81 9.78 (10.17),3x3x3 Cube Semi Final,1,2025
14,Simon Mars,8.83,,9.37,,si,9.77 9.40 (8.83) (9.99) 8.95,3x3x3 Cube Semi Final,1,2025
15,Piotr Olszewski,7.35,,9.38,,pl,9.10 10.82 8.21 (13.46) (7.35),3x3x3 Cube Semi Final,1,2025
16,Benedek Zimányi,8.35,,9.46,,hu,10.03 (11.21) 9.28 (8.35) 9.08,3x3x3 Cube Semi Final,1,2025
17,Anton Kokalj Pezzano,7.17,,9.62,,si,9.20 (7.17) 10.64 (13.37) 9.02,3x3x3 Cube Semi Final,1,2025
18,Szabolcs Szántai,8.90,,9.62,,hu,9.82 10.07 (10.26) 8.98 (8.90),3x3x3 Cube Semi Final,1,2025
19,Szymon Brzana,7.58,,9.67,,pl,9.50 (10.88) 9.79 9.71 (7.58),3x3x3 Cube Semi Final,1,2025
20,Simon Praschl,7.81,,9.73,,at,(11.28) 11.17 9.18 8.84 (7.81),3x3x3 Cube Semi Final,1,2025
21,Sebastian Feichtinger,8.41,,9.73,,at,10.22 9.50 9.46 (10.48) (8.41),3x3x3 Cube Semi Final,1,2025
22,Bence Kiácz,9.51,,9.89,,hu,(12.12) 9.79 10.13 9.75 (9.51),3x3x3 Cube Semi Final,1,2025
23,Jakov Srečković,7.71,,9.94,,hr,10.05 9.51 10.26 (13.05) (7.71),3x3x3 Cube Semi Final,1,2025
24,Riccardo Fiumefreddo,8.64,,9.98,,it,(11.57) 10.34 10.19 (8.64) 9.40,3x3x3 Cube Semi Final,1,2025
25,Jakob Kitak,8.93,,10.14,,si,(11.01) 10.56 9.20 (8.93) 10.66,3x3x3 Cube Semi Final,1,2025
26,Dmytro Vareniuk,7.60,,10.29,,ua,9.96 10.28 10.63 (7.60) (12.55),3x3x3 Cube Semi Final,1,2025
27,Julian Ostadal,9.67,,10.29,,at,10.36 (11.57) 10.76 (9.67) 9.74,3x3x3 Cube Semi Final,1,2025
28,Jure Gregorc,8.87,,10.30,,si,10.17 10.53 (8.87) (11.40) 10.19,3x3x3 Cube Semi Final,1,2025
29,Tomaž Saje,8.29,,10.43,,si,9.61 10.43 (11.96) 11.26 (8.29),3x3x3 Cube Semi Final,1,2025
30,Łukasz Dubicki,9.43,,10.71,,pl,9.49 (9.43) 11.83 (DNF) 10.80,3x3x3 Cube Semi Final,1,2025
31,Mara Vivien Puljić,10.24,,10.76,,hr,(12.54) 10.42 11.47 10.38 (10.24),3x3x3 Cube Semi Final,1,2025
32,Matic Omulec,9.94,,10.98,,si,11.26 11.52 (13.22) (9.94) 10.15,3x3x3 Cube Semi Final,1,2025
33,Barbara Kralj,9.66,,11.61,,hr,(12.24) 11.65 11.09 (9.66) 12.08,3x3x3 Cube Semi Final,1,2025
34,Marko Obradović,10.69,,11.64,,si,(14.37) 12.52 11.05 (10.69) 11.36,3x3x3 Cube Semi Final,1,2025
35,Filip Premužić,9.25,,11.78,,hr,(15.21) 14.21 10.63 (9.25) 10.49,3x3x3 Cube Semi Final,1,2025
36,Bruno Ivančić,10.80,,11.81,,hr,(10.80) 12.14 (12.58) 11.14 12.16,3x3x3 Cube Semi Final,1,2025
37,Tisa Megušar,10.77,,11.87,,si,(10.77) (13.33) 11.21 12.16 12.24,3x3x3 Cube Semi Final,1,2025
38,Paul Aurednik,10.73,,12.05,,at,(13.34) 11.87 (10.73) 11.73 12.55,3x3x3 Cube Semi Final,1,2025
39,Nikolas Akhapkin,11.43,,12.33,,ie,(15.07) 13.84 11.73 (11.43) 11.43,3x3x3 Cube Semi Final,1,2025
40,Henry Peng,10.83,,12.36,,at,13.22 12.07 (10.83) (22.07) 11.79,3x3x3 Cube Semi Final,1,2025
41,Serafim Weiß,11.37,,12.37,,de,11.66 12.91 (12.93) 12.53 (11.37),3x3x3 Cube Semi Final,1,2025
42,Filip Barbirič Frank,9.08,,12.40,,si,(18.16) 11.61 13.22 12.37 (9.08),3x3x3 Cube Semi Final,1,2025
43,Nika Arsov,11.37,,12.44,,si,(15.60) (11.37) 12.93 11.67 12.71,3x3x3 Cube Semi Final,1,2025
44,Marcel Niedl,9.93,,12.56,,at,12.79 12.53 (14.62) (9.93) 12.36,3x3x3 Cube Semi Final,1,2025
45,Oskar Schöppl,11.16,,12.66,,at,12.80 12.51 (11.16) 12.68 (15.11),3x3x3 Cube Semi Final,1,2025
46,Dániel Varga,11.67,,12.79,,hu,12.79 (11.67) 12.77 (12.84) 12.81,3x3x3 Cube Semi Final,1,2025
47,Matej Bolta,10.39,,13.01,,si,12.04 11.97 (16.27) (10.39) 15.01,3x3x3 Cube Semi Final,1,2025
48,Konstantin Jaehne,12.28,,13.08,,de,(12.28) (14.84) 12.53 12.47 14.24,3x3x3 Cube Semi Final,1,2025
49,Matej Brkić,11.52,,13.34,,si,(15.96) 14.14 13.08 (11.52) 12.79,3x3x3 Cube Semi Final,1,2025
50,Vigo Pernar,11.50,,13.38,,hr,12.98 (15.41) (11.50) 13.34 13.81,3x3x3 Cube Semi Final,1,2025
51,Felizian Baumgartner,10.15,,13.46,,at,14.82 13.81 11.75 (10.15) (15.70),3x3x3 Cube Semi Final,1,2025
52,Fabijan Kosar,10.61,,13.50,,hr,13.06 11.74 15.69 (10.61) (16.97),3x3x3 Cube Semi Final,1,2025
53,Oskar Hudomalj,10.82,,13.53,,si,(16.41) 14.65 12.57 (10.82) 13.37,3x3x3 Cube Semi Final,1,2025
54,Fabian Staber,11.62,,13.54,,at,(16.94) 13.75 (11.62) 11.99 14.88,3x3x3 Cube Semi Final,1,2025
55,Alexander Bóna,10.88,,13.68,,hu,14.39 (DNF) 13.75 12.89 (10.88),3x3x3 Cube Semi Final,1,2025
56,David Šiška,11.53,,13.97,,si,12.95 14.34 14.61 (11.53) (15.66),3x3x3 Cube Semi Final,1,2025
57,Hana Atalić,13.24,,14.09,,hr,15.52 (15.78) 13.31 (13.24) 13.44,3x3x3 Cube Semi Final,1,2025
58,Balázs Polyák,10.50,,14.16,,hu,13.95 15.49 13.05 (10.50) (16.21),3x3x3 Cube Semi Final,1,2025
59,Dušan Zakelšek,14.79,,16.41,,si,(18.65) 15.50 16.97 (14.79) 16.75,3x3x3 Cube Semi Final,1,2025
60,Danijel Bajsić,14.55,,16.90,,hr,(19.96) 15.89 18.00 (14.55) 16.80,3x3x3 Cube Semi Final,1,2025
1,Alexey Tsvetkov,5.38,,6.51,,ru,6.22 6.59 (8.82) 6.71 (5.38),3x3x3 Cube Second round,2,2025
2,Thomas Strasser,6.61,,7.77,,at,(6.61) 7.32 8.36 7.62 (9.80),3x3x3 Cube Second round,2,2025
3,Gábor Slezák,6.88,,7.87,,hu,(9.08) 7.62 (6.88) 8.75 7.24,3x3x3 Cube Second round,2,2025
4,Dávid Szabó,6.14,,7.93,,hu,(6.14) 8.03 9.28 (9.79) 6.48,3x3x3 Cube Second round,2,2025
5,Lana Bedek,7.44,,7.96,,hr,7.69 (7.44) (9.13) 8.13 8.06,3x3x3 Cube Second round,2,2025
6,Ádám Szabó,7.50,,8.22,,hu,8.77 8.10 (10.90) 7.80 (7.50),3x3x3 Cube Second round,2,2025
7,Oliver Fritz,7.58,,8.31,,de,(9.40) 7.89 8.62 (7.58) 8.42,3x3x3 Cube Second round,2,2025
8,Marcel Ručigaj,7.88,,8.36,,si,(8.74) 8.14 8.72 8.23 (7.88),3x3x3 Cube Second round,2,2025
9,Oskar Vidiček,7.96,,8.43,,si,(10.25) (7.96) 8.53 8.17 8.58,3x3x3 Cube Second round,2,2025
10,Simon Praschl,8.19,,8.67,,at,(9.29) 8.33 9.16 8.52 (8.19),3x3x3 Cube Second round,2,2025
11,Gergely Novotni,8.13,,8.69,,hu,(8.13) 8.39 8.87 (9.06) 8.81,3x3x3 Cube Second round,2,2025
12,Jakov Srečković,8.04,,8.93,,hr,(8.04) (9.69) 8.46 8.90 9.44,3x3x3 Cube Second round,2,2025
13,Szabolcs Szántai,8.32,,9.04,,hu,(8.32) 8.72 (10.76) 9.87 8.52,3x3x3 Cube Second round,2,2025
