Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
137,6.45,0.0,Andrea ARILLA,14 DEC 2004,ESP,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",04 FEB 2024,1097,19
137,6.45,0.0,Evelyn YANKEY,02 SEP 2003,ESP,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",10 FEB 2024,1097,20
137,6.45,+0.9,Asherah COLLINS,14 NOV 2001,USA,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1097,22
137,6.45,+1.8,Ilse STEIGENGA,04 OCT 2002,NED,"University of South Florida Track &amp; Field Stadium, Tampa, FL (USA)",06 APR 2024,1097,21
137,6.45,+1.0,Alexandra KELLY,14 JAN 2004,USA,"Weaver Stadium, Princeton, NJ (USA)",12 APR 2024,1097,20
137,6.45,0.0,Mylani GALBREATH,,USA,"Geroge C. Griffin Track, Atlanta, GA (USA)",19 APR 2024,1097,
137,6.45,-2.7,Dainerys HAIT&#205;,09 MAR 2004,CUB,"Estadio Panamericano, La Habana (CUB)",26 APR 2024,1113,20
137,6.45,-0.1,Liisa-Maria LUSTI,22 AUG 2004,EST,"Rannastaadion, P&#228;rnu (EST)",28 MAY 2024,1097,19
137,6.45,-0.6,Julia ADAMCZYK,28 JUL 2005,POL,"Sports Stadium CESA VUT, Brno (CZE)",22 JUN 2024,1100,18
137,6.45,+1.0,Ramilya VALITOVA,10 OCT 1996,RUS,"Znamenskikh Stadion, Moskva (RUS)",04 AUG 2024,1097,27
150,6.44,0.0,Jasmyn STEELS,10 DEC 1997,USA,"Sports Performance Center, Lubbock, TX (USA) (i)",13 JAN 2024,1095,26
150,6.44,0.0,Sofia COSCULLUELA,26 JAN 2004,ESP,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",03 FEB 2024,1095,20
150,6.44,0.0,Elizabeth WHITE,29 FEB 2000,USA,"Convention Center, Albuquerque, NM (USA) (i)",09 FEB 2024,1095,23
150,6.44,0.0,Caelyn HARRIS,21 JUL 2004,USA,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1095,19
154,6.43,-0.1,Hannah WALLER,19 DEC 2001,USA,"Hilmer Lodge Stadium, Walnut, CA (USA)",19 APR 2024,1092,22
154,6.43,+1.5,Alysah HICKEY,08 MAY 2001,USA,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1092,22
156,6.42,0.0,Caroline KLEIN,04 MAR 1996,GER,"Helmut-Sch&#246;n-Sportpark, Wiesbaden (GER)",04 MAY 2024,1090,28
156,6.42,0.0,Samira ATTERMEYER,04 JAN 2004,GER,"Bezirkssportanlage &#220;berruhr, Essen (GER)",09 MAY 2024,1090,20
156,6.42,-0.1,Ruth HILDEBRAND,16 OCT 2004,GER,"Michael-Hoffmann-Stadion, Mannheim (GER)",20 MAY 2024,1090,19
156,6.42,+1.3,Kitija Paula MELNBĀRDE,10 FEB 2001,LAT,"Jāņa Daliņa Stadium, Valmiera (LAT)",06 JUL 2024,1090,23
164,6.41,0.0,Saga VANNINEN,04 MAY 2003,FIN,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1088,20
164,6.41,0.0,Paola FERNANDEZ,26 MAY 2000,PUR,"Pista Basilio Rodriguez, Carolina (PUR)",15 MAR 2024,1088,23
164,6.41,+0.9,Katelyn ADEL,23 OCT 2002,SUI,"Centro Gabre Gabric, Brescia (ITA)",28 APR 2024,1088,21
164,6.41,+0.6,Sophie WEI&#223;ENBERG,24 SEP 1997,GER,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1088,26
164,6.41,0.0,Ida BEITER BOMME,25 SEP 2001,DEN,"Torvet, Herning (DEN)",21 JUN 2024,1088,22
