Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
292,6.27,0.0,Nea LENTO,07 MAR 2002,FIN,"Botniahallen, Mustasaari (FIN) (i)",24 FEB 2024,1057,21
292,6.27,+1.4,Karmen FOUCHE,02 JAN 2003,RSA,"McArthur Stadium, Potchefstroom (RSA)",14 MAR 2024,1057,21
292,6.27,+1.9,Peace OMONZANE,2004,CAN,"University of South Florida Track &amp; Field Stadium, Tampa, FL (USA)",06 APR 2024,1057,
292,6.27,0.0,Sienna MACDONALD,15 AUG 2002,CAN,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",27 APR 2024,1057,21
292,6.27,+1.4,Sennah VANHOEIJEN,08 FEB 2004,BEL,"Boudewijnstadion, Bruxelles (BEL)",30 JUN 2024,1057,20
292,6.27,+1.3,Aleksandra KURTBEKIROVA,17 JUN 2004,RUS,"Stadium Desna, Bryansk (RUS)",19 JUL 2024,1057,20
292,6.27,+1.0,Yasemin Zehra B&#214;REK&#199;I,03 JUL 2002,TUR,"Atat&#252;rk Stadyumu, Izmir (TUR)",18 AUG 2024,1057,22
292,6.27,-2.0,Moumita MONDAL,09 DEC 2001,IND,"Patliputra Sports Complex, Patna (IND)",30 SEP 2024,1069,22
303,6.26,0.0,Alaysia OAKES,2003,USA,"Convention Center, Albuquerque, NM (USA) (i)",09 FEB 2024,1055,
303,6.26,+0.2,Urtė KŠČENAVIČIŪTĖ,22 APR 2002,LTU,"Vingis Park Stadium, Vilnius (LTU)",31 MAY 2024,1055,22
303,6.26,+0.3,Sarah LEECH,26 JAN 1998,FRA,"Stade Pierre Paul Bernard, Talence (FRA)",13 JUL 2024,1055,26
307,6.25,0.0,Marie JUNG,15 NOV 2003,GER,"Werner-von-Linde-Halle, M&#252;nchen (GER) (i)",04 FEB 2024,1053,20
307,6.25,0.0,Karolina MŁODAWSKA,04 OCT 1996,POL,"Arena, Toruń (POL) (i)",18 FEB 2024,1053,27
307,6.25,+1.0,Celine JANSEN,05 MAY 1996,SUI,"Centro Gabre Gabric, Brescia (ITA)",28 APR 2024,1053,27
307,6.25,+0.7,Eunice ILUNGA MBUYI,01 JUL 2002,FRA,"UL Monroe Brown Stadium, Monroe, LA (USA)",10 MAY 2024,1053,21
307,6.25,+1.8,Daniela VOLN&#193;,13 JUN 2002,CZE,"Stadion Ml&#225;deže, Zl&#237;n (CZE)",30 JUN 2024,1053,22
307,6.25,+1.7,Katharina GR&#197;MAN,09 DEC 2003,SWE,"Arosvallen, V&#228;ster&#229;s (SWE)",28 JUL 2024,1053,20
314,6.24,0.0,Merle HOMEIER,27 AUG 1999,GER,"Helmut-K&#246;rnig-Halle, Dortmund (GER) (i)",20 JAN 2024,1051,24
314,6.24,+1.6,Oleksandra CHERNUKHA,02 SEP 2004,UKR,"Avangard Stadium, Lutsk (UKR)",18 MAY 2024,1051,19
314,6.24,+1.1,Ronja WENGI,05 OCT 2002,SUI,"Stadion Trinermatten, Zofingen (SUI)",18 MAY 2024,1051,21
314,6.24,+0.8,Anne-Mari LEHTI&#214;,06 SEP 1995,FIN,"Harjun stadion, Jyv&#228;skyl&#228; (FIN)",22 MAY 2024,1051,28
314,6.24,+1.0,Riko SHIRATO,17 MAY 2004,JPN,"Nihon University Athletics Stadium, Setagaya, Tokyo (JPN)",02 JUN 2024,1051,20
314,6.24,+0.5,Sherin ABDUL GAFOOR,24 FEB 2000,IND,"Tau Devi Lal Stadium, Panchkula (IND)",30 JUN 2024,1051,24
314,6.24,+1.1,Weronika KLIMACKA,19 APR 1996,POL,"Stadion Zygmunta Szelesta, Warszawa (POL)",06 JUL 2024,1051,28
314,6.24,-1.2,Natalia BESI,05 AUG 1997,GRE,"Pampeloponnisiako Stadium, Patra (GRE)",07 JUL 2024,1058,26
314,6.24,+0.3,Yelizaveta SLOBODYANYUK,18 APR 2004,RUS,"Kalininets Stadium, Yekaterinburg (RUS)",17 AUG 2024,1051,20
314,6.24,+1.0,Kusuma RAVADA,15 SEP 2001,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",02 SEP 2024,1051,22
326,6.23,0.0,Madara BĒRZIŅA,30 MAR 2005,LAT,"Jāņa Daliņa Manēža, Valmiera (LAT) (i)",09 FEB 2024,1049,18
326,6.23,0.0,Marina PIRIYEVA,16 JUL 1998,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1049,25
326,6.23,0.0,Mei JIANG,15 DEC 1994,CHN,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN) (i)",27 FEB 2024,1049,29
326,6.23,0.0,Ashley MCELMURRY,10 MAY 2001,USA,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1049,22
326,6.23,+1.6,Vanessa GRIMM,22 APR 1997,GER,"M&#246;sle-Stadium, G&#246;tzis (AUT)",19 MAY 2024,1049,27
326,6.23,+0.1,Zhane SMITH,25 APR 1999,USA,"Notre Dame HS, Sherman Oaks, CA (USA)",07 JUN 2024,1049,25
326,6.23,+1.0,Inese BEMBERE,19 JAN 2006,LAT,"Zemgales Olimpiskā centra Stadions, Jelgava (LAT)",08 JUN 2024,1049,18
326,6.23,+1.5,Finja K&#214;CHLING,23 NOV 2004,GER,"Waldstadion, Walldorf (GER)",15 JUN 2024,1049,19
326,6.23,+1.9,Mariah TOUSSAINT,06 NOV 1992,DMA,"The Bahamas National Stadium, Nassau (BAH)",16 JUN 2024,1049,31
326,6.23,+0.8,Priyanka KERKETTA,13 OCT 1998,IND,"Tau Devi Lal Stadium, Panchkula (IND)",30 JUN 2024,1049,25
339,6.22,0.0,Jirah SIDBERRY,,USA,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",19 JAN 2024,1047,
339,6.22,0.0,Mikele VICKERS,2002,USA,"Clemson Indoor Track &amp; Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1047,
339,6.22,0.0,Aaliyah LINDSAY,04 JAN 2002,JAM,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1047,22
339,6.22,+0.3,Christina WENDE,02 AUG 2000,USA,"Bobcat Track and Field Complex, San Marcos, TX (USA)",28 MAR 2024,1047,23
339,6.22,+1.6,Elena CARTER,,USA,"Davis Field, Pocatello, ID (USA)",26 APR 2024,1047,
339,6.22,+0.9,Ion KONDO,17 APR 2006,JPN,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",11 MAY 2024,1047,18
339,6.22,+1.2,Lena GOODEN,05 OCT 2005,USA,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1047,18
339,6.22,+1.1,Ingeborg GR&#220;NWALD,21 MAY 2001,AUT,"ULSZ Hallein-Rif, Hallein (AUT)",15 JUN 2024,1047,23
339,6.22,+1.4,Camille FRANSOT,02 NOV 2005,FRA,"Stade R&#233;gional G. Hebert, Reims (FRA)",23 JUN 2024,1047,18
339,6.22,-0.1,Nastassia DROZD,19 DEC 2004,BLR,"Dinamo National Olympic Stadium, Minsk (BLR)",28 JUN 2024,1047,19
339,6.22,+1.4,Caroline AGNOU,26 MAY 1996,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1047,28
339,6.22,0.0,Malin MARMBRANDT OTTERLING,29 APR 1985,SWE,"Arosvallen, V&#228;ster&#229;s (SWE)",28 JUL 2024,1047,39
339,6.22,+0.9,Adrianna SUŁEK-SCHUBERT,03 APR 1999,POL,"Stade de France, Paris (FRA)",09 AUG 2024,1047,25
339,6.22,+0.7,Milana SADOVSKAYA,21 FEB 2004,RUS,"Kalininets Stadium, Yekaterinburg (RUS)",16 AUG 2024,1047,20
356,6.21,+0.5,Maria Trinidad HURTADO,12 DEC 2000,CHI,"San Carlos de Apoquindo, Santiago de Chile (CHI)",03 MAR 2024,1044,23
356,6.21,+0.2,Emma SEETOO,,USA,"Cushing Stadium, College Station, TX (USA)",23 MAR 2024,1044,
356,6.21,+0.8,Izabela SOKOLOVA,24 AUG 2002,BUL,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1044,21
356,6.21,0.0,Mahkaia LEE,,USA,"UVA Lanningan Field, Charlottesville, VA (USA)",20 APR 2024,1044,
356,6.21,-0.6,Andrea CORNELISSEN,18 MAR 2002,RSA,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",20 APR 2024,1047,22
356,6.21,+2.0,Ilona MASSON,31 AUG 2001,BEL,"Boudewijnstadion, Bruxelles (BEL)",28 APR 2024,1044,22
356,6.21,0.0,Ayaka KORA,22 MAR 2001,JPN,"Yanmar Stadium Nagai, Osaka (JPN)",12 MAY 2024,1044,23
356,6.21,+0.9,Cassandre TISSANDIER,08 JAN 2003,FRA,"Parc des Sports, Annecy (FRA)",25 MAY 2024,1044,21
356,6.21,0.0,Masha-Sol GELITZ,24 MAY 2006,GER,"Stadion Hacheney, Dortmund (GER)",08 JUN 2024,1044,18
356,6.21,0.0,Ida RASMUSSEN,31 JAN 2003,DEN,"Torvet, Herning (DEN)",21 JUN 2024,1044,21
356,6.21,+0.3,Olga SZLACHTA,08 AUG 2006,POL,"Stadion im. Marszałka J&#243;zefa Piłsudskiego, Radom (POL)",27 JUL 2024,1044,17
371,6.20,0.0,Svitlana BOICHUK,22 OCT 2004,UKR,"KMSHVSM Arena, Kyiv (UKR) (i)",03 FEB 2024,1042,19
371,6.20,0.0,Rūta Kate LASMANE,17 DEC 2000,LAT,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1042,23
371,6.20,0.0,Shalom OLOTU,,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1042,
371,6.20,0.0,Ioana Sabina STIRBU,06 JAN 2003,ROU,"Sala de Atletism Ioan Soter, Bucureşti (ROU) (i)",02 MAR 2024,1042,21
371,6.20,0.0,Kristīne BLAŽEVIČA,11 DEC 2001,LAT,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1042,22
371,6.20,+1.6,Mia SCERRI,26 MAR 2005,AUS,"SA Athletic Stadium, Adelaide (AUS)",13 APR 2024,1042,19
371,6.20,+0.7,Izzy GOUDROS,12 AUG 2003,CAN,"Morris Williams T&amp;F Stadium, Durham, NC (USA)",13 APR 2024,1042,20
371,6.20,-0.1,Caroline JOHNSTON,25 JAN 2001,USA,"Franklin Field, Philadelphia, PA (USA)",26 APR 2024,1042,23
371,6.20,+1.7,Ella RUSH,08 APR 2004,GBR,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1042,20
371,6.20,0.0,Dominique BIRON,,USA,"Elon University’s Irwin Belk Track, Elon, NC (USA)",11 MAY 2024,1042,
371,6.20,+0.8,Zuzanna SZTACHAŃSKA,28 DEC 2001,POL,"Stadion BOSiR, Białystok (POL)",25 MAY 2024,1042,22
371,6.20,+0.8,Arianna BATTISTELLA,08 JAN 2002,ITA,"Giovanni Chiggiato Stadium, Caorle (ITA)",26 MAY 2024,1042,22
371,6.20,+1.8,Elena LLOBERA,01 APR 1993,ESP,"Camp d’Atletisme Antoni Amor&#243;s, Santa Coloma de Gramenet (ESP)",09 JUN 2024,1042,31
371,6.20,+0.1,Sofia BORELLO,13 DEC 2001,ITA,"Centro Gabre Gabric, Brescia (ITA)",16 JUN 2024,1042,22
371,6.20,+0.5,Kiana DAVIS,22 DEC 1994,USA,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1042,29
371,6.20,+0.9,Tiffanie MAGNUSSON,27 AUG 2002,SWE,"Rimnersvallen, Uddevalla (SWE)",29 JUN 2024,1042,21
371,6.20,+1.0,Thaina GUERINO FERNANDES,14 MAR 1999,BRA,"COTP Stadium, S&#227;o Paulo (BRA)",24 AUG 2024,1042,25
371,6.20,-0.2,Akari FUNADA,27 AUG 2000,JPN,"Todoroki Stadium, Kawasaki (JPN)",21 SEP 2024,1043,24
371,6.20,+1.1,Nagisa YAMAMOTO,25 AUG 1998,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",22 SEP 2024,1042,26
393,6.19,0.0,Josie KRONE,12 MAR 2005,GER,"Leichtathletikhalle, Hamburg (GER) (i)",03 FEB 2024,1040,18
393,6.19,0.0,Enie DANGELMAIER,19 JUN 2003,GER,"Leichtathletikhallen Manfort, Leverkusen (GER) (i)",03 FEB 2024,1040,20
393,6.19,0.0,Isabel POSCH,28 FEB 2000,AUT,"TipsArena, Linz (AUT) (i)",17 FEB 2024,1040,23
393,6.19,0.0,Sandra Milena FERRARI,01 JAN 2003,ITA,"Bowen Fieldhouse, Ypsilanti, MI (USA) (i)",23 FEB 2024,1040,21
393,6.19,0.0,Saana PEURA,19 JAN 2003,FIN,"Botniahallen, Mustasaari (FIN) (i)",24 FEB 2024,1040,21
393,6.19,+0.5,Maud ZEFFOU POATY,10 APR 2003,FRA,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1040,20
393,6.19,+1.7,Aasha MARLER GOODWILER,24 DEC 1992,CAN,"Jack Rose Track, Long Beach, CA (USA)",13 APR 2024,1040,31
393,6.19,+0.9,Imani MOORE,2003,USA,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26 APR 2024,1040,
393,6.19,-1.1,Vasiliki CHAITIDOU,10 FEB 2000,GRE,"Municipal Gymnasium National Resistance, Kallithea, Athina (GRE)",15 MAY 2024,1046,24
393,6.19,+0.8,Anna HALL,23 MAR 2001,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1040,23
393,6.19,+0.5,Sydney ROQUEBRUN,01 NOV 2004,FRA,"Stadium Municipal, Albi (FRA)",19 JUL 2024,1040,19
393,6.19,-0.3,Hikaru AKEBOSHI,25 DEC 1998,JPN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",22 SEP 2024,1041,25
412,6.18,0.0,Helena B&#214;RNER,20 SEP 2003,GER,"Leichtathletikhalle im Sportforum, Chemnitz (GER) (i)",20 JAN 2024,1038,20
412,6.18,0.0,Tesia THOMAS,01 OCT 2002,USA,"Ashenfelter Indoor Track, State College, PA (USA) (i)",16 FEB 2024,1038,21
412,6.18,0.0,Tereza VOK&#193;LOV&#193;,16 JUN 1998,CZE,"Atletick&#225; hala, Ostrava (CZE) (i)",18 FEB 2024,1038,25
412,6.18,0.0,Giulia RICCARDI,12 MAY 2003,ITA,"Palaindoor, Padova (ITA) (i)",02 MAR 2024,1038,20
412,6.18,+0.1,Kelsey BERRYMAN,04 FEB 1992,NZL,"Newtown Park Stadium, Wellington (NZL)",16 MAR 2024,1038,32
412,6.18,+1.9,Ayanna JONES,2003,USA,"Terry &amp; Linda Fuller T&amp;F Complex, Lubbock, TX (USA)",23 MAR 2024,1038,
412,6.18,-0.6,Rocio Fernanda MU&#209;OZ VAN RISSELBERGHE,09 JUL 2001,CHI,"Estadio de Atletismo - Unidad Deportiva el Salitre, Bogot&#225; (COL)",25 MAY 2024,1041,22
412,6.18,-0.3,Nikolia POIRAZIDI,08 JUL 2004,GRE,"Pampeloponnisiako Stadium, Patra (GRE)",07 JUL 2024,1039,19
412,6.18,0.0,Dorcas OPOKU,06 JUN 1999,GHA,"MKO Abiola National Stadium, Abuja (NGR)",24 NOV 2024,1038,25
425,6.17,0.0,Andrea SALVADOR,29 MAY 1996,ESP,"Vel&#243;dromo Luis Puig, Valencia (ESP) (i)",03 FEB 2024,1036,27
425,6.17,0.0,Emma OOSTERWEGEL,29 JUN 1998,NED,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2024,1036,25
425,6.17,0.0,Courtney LINES,,USA,"Armory Track&amp;Field Center, New York, NY (USA) (i)",22 FEB 2024,1036,
425,6.17,+1.7,Samari FINNEY,2004,USA,"Bobcat Track and Field Complex, San Marcos, TX (USA)",28 MAR 2024,1036,
425,6.17,-0.8,Lingfang TIAN,26 JAN 2002,CHN,"Shanxi Athletics Administrative Center, Xi&#39;an (CHN)",27 APR 2024,1040,22
425,6.17,+0.1,Fiona AHOLU-FUTSE,08 DEC 2000,FRA,"Stade L. Achille, Fort-de-France (FRA)",25 MAY 2024,1036,23
425,6.17,+1.6,Lucinda GOMES,16 APR 1995,POR,"Pista Municipal Prof. M&#225;rio Moniz Pereira, Lisboa (POR)",01 JUN 2024,1036,29
425,6.17,+0.6,Chari HAWKINS,21 MAY 1991,USA,"CVEATC, Chula Vista, CA (USA)",02 JUN 2024,1036,33
425,6.17,+1.0,Rimpi BURAGOHAIN,12 OCT 1999,IND,"Sree Kanteerava Outdoor Stadium, Bengaluru (IND)",12 JUN 2024,1036,24
425,6.17,+1.9,Pepa GOMBAU,26 JUL 2002,ESP,"Pistes d&#39;atletisme Gaet&#224; Huguet, Castell&#243;n (ESP)",15 JUN 2024,1036,21
425,6.17,+1.3,Sotiria RAPTI,15 OCT 2003,GRE,"Panthessaliko Stadium, Volos (GRE)",30 JUN 2024,1036,20
425,6.17,-0.4,Huijin LEE,25 NOV 1998,KOR,"Gimhae Stadium, Gimhae (KOR)",14 OCT 2024,1038,25
441,6.16,0.0,Ottavia CESTONARO,12 JAN 1995,ITA,"Palaindoor, Padova (ITA) (i)",21 JAN 2024,1033,29
441,6.16,0.0,Shelaine PRITCHARD,2004,CAN,"James Daly Fieldhouse, Winnipeg (CAN) (i)",03 FEB 2024,1033,
441,6.16,0.0,Reyhaneh Mobini ARANI,20 NOV 2000,IRI,"Aftab Enghelab Sport Complex, Tehran (IRI) (i)",17 FEB 2024,1033,23
441,6.16,0.0,Modupe AWOSANYA,,USA,"WATTS, Youngstown, OH (USA) (i)",24 FEB 2024,1033,
441,6.16,-0.5,Miracle AILES,,USA,"Sam Bailey Track Stadium, Tuscaloosa, AL (USA)",06 APR 2024,1036,
441,6.16,+1.6,Delaney BAHN,,USA,"Jack Rose Track, Long Beach, CA (USA)",11 APR 2024,1033,
441,6.16,-0.1,Helena BRICH,29 APR 1999,GER,"Michael-Hoffmann-Stadion, Mannheim (GER)",20 MAY 2024,1033,25
441,6.16,+0.8,Yanisley CARRI&#211;N,09 OCT 2001,CUB,"Estadio Panamericano, La Habana (CUB)",24 MAY 2024,1033,22
441,6.16,+0.7,Yan HU,13 FEB 2001,CHN,"Olympic Sports Center, Chongqing (CHN)",27 MAY 2024,1033,23
441,6.16,+1.8,Jovana MIĆIĆ,11 AUG 2005,SRB,"Atletski Stadion, Kraljevo (SRB)",02 JUN 2024,1033,18
441,6.16,+0.8,Fayza ISSAKA ABDOUKERIM,17 APR 1996,TOG,"University of Ghana Sports Stadium, Accra (GHA)",05 JUN 2024,1033,28
441,6.16,+0.8,Yana SARGSYAN,20 OCT 2000,ARM,"Lathbury Athletics Stadium, Gibraltar (GIB)",22 JUN 2024,1033,23
441,6.16,+1.2,Live HAUGSTAD HILTON,12 SEP 1999,NOR,"Friidrettsstadion, Jessheim (NOR)",10 AUG 2024,1033,24
441,6.16,+0.3,Tereza Elena Š&#205;NOV&#193;,17 AUG 2001,CZE,"Atletick&#253; stadion Turnov, Turnov (CZE)",03 SEP 2024,1033,23
462,6.15,0.0,Anna VISIBELLI,01 JAN 1993,ITA,"Palaindoor Ancona, Ancona (ITA) (i)",20 JAN 2024,1031,31
462,6.15,0.0,Mariya PRIVALOVA,25 DEC 2001,RUS,"Olimpiyets, Mogilyov (BLR) (i)",17 FEB 2024,1031,22
462,6.15,0.0,Linda SUCH&#193;,28 SEP 2001,CZE,"Atletick&#225; hala, Ostrava (CZE) (i)",18 FEB 2024,1031,22
462,6.15,0.0,Jadaja BAXTER,2002,USA,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2024,1031,
462,6.15,-1.7,Bo BRASSEUR,14 MAY 1998,BEL,"SEMO Abe Stuber T&amp;F Complex, Cape Girardeau, MO (USA)",30 MAR 2024,1041,25
462,6.15,+1.9,Kayla WOODS,,USA,"George Mason Stadium, Fairfax, VA (USA)",05 APR 2024,1031,
462,6.15,+1.3,Elisa PINEAU,26 OCT 1998,FRA,"Antonio Dom&#237;nguez Stadium, Arona (ESP)",12 MAY 2024,1031,25
462,6.15,+0.6,Mait&#233; BEERNAERT,14 NOV 2001,BEL,"Sportcentrum Wembley, Kortrijk (BEL)",18 MAY 2024,1031,22
462,6.15,+1.3,Chiara SMERALDO,13 FEB 2002,ITA,"Pista Fantoni, Mondovi (ITA)",02 JUN 2024,1031,22
462,6.15,-0.3,Lauren CALLAGHAN,04 MAR 2002,IRL,"Morton Stadium, Santry, Dublin (IRL)",30 JUN 2024,1032,22
462,6.15,+1.8,Alice LUNARDON,19 NOV 1998,ITA,"Campo Montagna, La Spezia (ITA)",30 JUN 2024,1031,25
462,6.15,+1.1,Viktoriya BARKOVA,06 APR 2001,RUS,"Olympic Stadium, Cheboksary (RUS)",07 JUL 2024,1031,23
462,6.15,+1.1,Chloe LACHAUD,18 FEB 2002,FRA,"Stade Pierre Paul Bernard, Talence (FRA)",13 JUL 2024,1031,22
484,6.14,0.0,Yuliia LOBAN,07 AUG 2000,UKR,"KMSHVSM Arena, Kyiv (UKR) (i)",20 JAN 2024,1029,23
484,6.14,0.0,Diamantina DEDOLA,10 JUN 2003,FRA,"Stadium Jean-Pellez, Aubi&#233;re (FRA) (i)",04 FEB 2024,1029,20
484,6.14,0.0,Augustine BLANC-BOEKHOLT,18 JUN 2000,FRA,"Salle Maryvonne Dupureur, St-Brieuc (FRA) (i)",02 MAR 2024,1029,23
484,6.14,+0.1,Janaya JONES,,USA,"Geroge C. Griffin Track, Atlanta, GA (USA)",16 MAR 2024,1029,
484,6.14,+0.3,Nolwazi MASHABA,10 JAN 2002,RSA,"Germiston Stadium, Johannesburg (RSA)",16 MAR 2024,1029,22
484,6.14,+1.1,Reyna JOHNSON,,USA,"Anteater Stadium, Irvine, CA (USA)",29 MAR 2024,1029,
484,6.14,+1.8,Lucy FELLOWS,14 SEP 2004,GBR,"Bobcat Track and Field Complex, San Marcos, TX (USA)",29 MAR 2024,1029,19
484,6.14,+0.7,Tori CARROLL,2001,USA,"Percy Beard Track, Gainesville, FL (USA)",12 APR 2024,1029,
484,6.14,+1.3,Jordan HARDY,,USA,"UVA Lanningan Field, Charlottesville, VA (USA)",20 APR 2024,1029,
484,6.14,+2.0,Kara LUCYK,,USA,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",27 APR 2024,1029,
484,6.14,+2.0,Bailey GOLDEN,1999,USA,"Clyde Hart Track &amp; Field Stadium, Waco, TX (USA)",10 MAY 2024,1029,
484,6.14,+0.4,Eliise ANIJALG,03 OCT 2001,EST,"Kadrioru staadion, Tallinn (EST)",26 MAY 2024,1029,22
484,6.14,-0.1,Hui CHEN,06 JUL 2004,CHN,"Olympic Sports Center, Huangshi (CHN)",01 JUN 2024,1029,19
484,6.14,-0.1,Jeong-mi YU,02 APR 1994,KOR,"Taipei Municipal Stadium, Taipei City (TPE)",02 JUN 2024,1029,30
484,6.14,+0.6,Trinity SHADD-CERES,06 SEP 2006,CAN,"Alumni Stadium, London (CAN)",07 JUN 2024,1029,17
484,6.14,+1.7,Bora BOCZON&#193;DI,13 MAY 2007,HUN,"Bregy&#243; Athletic Center, Sz&#233;kesfeh&#233;rv&#225;r (HUN)",16 JUN 2024,1029,17
484,6.14,-0.1,Tshegofatso BOJOSI,01 JAN 1998,BOT,"Stade Omnisport de JAPOMA, Douala (CMR)",23 JUN 2024,1029,26
509,6.13,0.0,Dreunna WASHINGTON,,USA,"R.A. &quot;Murray&quot; Fasken Indoor Track Stadium, College Station, TX (USA) (i)",13 JAN 2024,1027,
509,6.13,0.0,Alina CHISTYAKOVA,30 APR 2005,KAZ,"Athletic Center Olga Rypakova, Ust-Kamenogorsk (KAZ) (i)",20 JAN 2024,1027,18
509,6.13,0.0,Abigail PAWLETT,14 JAN 2003,GBR,"Lasnam&#228;e Kergej&#245;ustikuhall, Tallinn (EST) (i)",04 FEB 2024,1027,21
509,6.13,0.0,Cajsa AUGUSTSSON,21 MAR 2002,SWE,"Eva Lisa Holtz Arena, Karlstad (SWE) (i)",18 FEB 2024,1027,21
509,6.13,0.0,Allyria MCBRIDE,18 JUN 2004,USA,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1027,19
509,6.13,0.0,Samoya NEIL,29 SEP 2002,JAM,"Shelly Ellig Indoor T&amp;F Facility, Fargo, ND (USA) (i)",23 FEB 2024,1027,21
509,6.13,0.0,Micah CAREY,,USA,"WATTS, Youngstown, OH (USA) (i)",24 FEB 2024,1027,
509,6.13,0.0,Alicia DAWSON,,USA,"Boston Univ. Track &amp; Tennis Center, Boston, MA (USA) (i)",02 MAR 2024,1027,
509,6.13,+1.5,Destiny BAILEY-PERKINS,,USA,"Dick Vert Stadium, High Point, NC (USA)",05 APR 2024,1027,
509,6.13,0.0,Breanna MOORE,,USA,"Geroge C. Griffin Track, Atlanta, GA (USA)",19 APR 2024,1027,
509,6.13,+1.7,Ella SCALLY,,USA,"Billy Hayes T&amp; F Complex, Bloomington, IN (USA)",03 MAY 2024,1027,
509,6.13,0.0,Ren&#225;ta VODNY&#193;NSZK&#193;,11 JAN 2004,SVK,"Dr. Koltai Jenő Sportk&#246;zpont, Budapest (HUN)",12 MAY 2024,1027,20
509,6.13,-2.1,Tabea EITEL,27 JAN 2004,GER,"Hans-Bretz-Stadion, Ettlingen (GER)",12 MAY 2024,1039,20
509,6.13,-1.0,Chiara GALVANI,25 JUL 2001,ITA,"Stadio Mario Lancellotta, Isernia (ITA)",19 MAY 2024,1033,22
509,6.13,+1.5,Olha KORSUN,11 NOV 1996,UKR,"Heino Lipp Stadium, J&#246;hvi (EST)",23 MAY 2024,1027,27
509,6.13,+0.7,Amy WARREN,23 APR 2002,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1027,22
509,6.13,+1.3,Noemi SEMPERE,21 MAR 1997,ESP,"Pistes d&#39;atletisme Gaet&#224; Huguet, Castell&#243;n (ESP)",25 MAY 2024,1027,27
509,6.13,+2.0,Sandra SOGOYOU,15 SEP 1991,FRA,"Stade Pierre Duboeuf, Bron (FRA)",04 JUL 2024,1027,32
509,6.13,+1.4,Irina GILKO,08 APR 2003,RUS,"Stadium Desna, Bryansk (RUS)",19 JUL 2024,1027,21
535,6.12,0.0,Jada SEAMAN,18 JUL 2001,USA,"R.A. &quot;Murray&quot; Fasken Indoor Track Stadium, College Station, TX (USA) (i)",20 JAN 2024,1025,22
535,6.12,0.0,Laura AGUILERA,04 MAR 2003,ESP,"Centro de Tecnificaci&#243;n de Atletismo, Antequera (ESP) (i)",03 FEB 2024,1025,20
535,6.12,0.0,Adriana KRŪZMANE,20 MAY 2006,LAT,"Jāņa Daliņa Manēža, Valmiera (LAT) (i)",09 FEB 2024,1025,17
535,6.12,0.0,Ivona DADIC,29 DEC 1993,AUT,"TipsArena, Linz (AUT) (i)",11 FEB 2024,1025,30
535,6.12,0.0,Sara KORDEK,01 FEB 2001,POL,"Arena, Toruń (POL) (i)",18 FEB 2024,1025,23
535,6.12,+1.8,Jasmine BARROW,2002,USA,"UCF Soccer and Track Complex, Orlando, FL (USA)",15 MAR 2024,1025,
535,6.12,+0.3,Dimitra GILTIDOU,22 DEC 2001,GRE,"Kaftanzoglio Stadium, Thessaloniki (GRE)",27 APR 2024,1025,22
535,6.12,+0.6,Cheyenne NESBITT,23 AUG 1999,USA,"GVSU Track/Lacrosse Stadium, Allendale, MI (USA)",02 MAY 2024,1025,24
535,6.12,+1.8,Akira KOBAYASHI,18 SEP 1999,JPN,"Municipal Stadium, Mito (JPN)",05 MAY 2024,1025,24
535,6.12,+1.6,Kateřina ČERNOCK&#193;,11 DEC 2005,CZE,"Stadion Juliska, Praha (CZE)",11 MAY 2024,1025,18
