Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,5.77,,5.88,,ru,6.02 5.79 (5.77) (6.88) 5.82,3x3x3 Cube Final,0,2025
2,Dávid Szabó,6.36,,6.96,,hu,(6.36) (8.83) 7.00 7.32 6.55,3x3x3 Cube Final,0,2025
3,Gábor Slezák,5.13,NR,7.49,,hu,7.14 (8.42) 8.07 7.25 (5.13),3x3x3 Cube Final,0,2025
4,Thomas Strasser,6.80,,7.79,,at,(6.80) (11.18) 8.10 8.46 6.81,3x3x3 Cube Final,0,2025
5,Matej Marčok,7.84,,7.96,,rs,7.88 7.96 (7.84) 8.04 (9.56),3x3x3 Cube Final,0,2025
6,David Vujasić,7.74,,8.25,,hr,(7.74) 8.45 8.34 7.95 (10.89),3x3x3 Cube Final,0,2025
7,Oliver Fritz,6.18,,8.70,,de,8.72 8.76 (6.18) (12.18) 8.62,3x3x3 Cube Final,0,2025
8,Ádám Szabó,7.44,,8.83,,hu,(7.44) 8.53 9.68 8.27 (DNF),3x3x3 Cube Final,0,2025
9,Oskar Vidiček,7.63,,8.95,,si,8.32 (9.49) (7.63) 9.11 9.42,3x3x3 Cube Final,0,2025
10,Gergely Novotni,8.50,,9.41,,hu,(8.50) 9.45 (DNF) 9.48 9.29,3x3x3 Cube Final,0,2025
11,Lana Bedek,7.48,,9.43,,hr,9.35 9.91 9.04 (7.48) (10.94),3x3x3 Cube Final,0,2025
12,Simon Mars,8.06,,9.48,,si,(13.68) 8.96 9.83 9.64 (8.06),3x3x3 Cube Final,0,2025
13,Jakob Kitak,8.83,,10.04,,si,9.53 (8.83) (11.10) 10.96 9.64,3x3x3 Cube Final,0,2025
14,Anton Kokalj Pezzano,9.63,,10.33,,si,10.51 (12.23) 10.71 (9.63) 9.76,3x3x3 Cube Final,0,2025
15,Jure Gregorc,9.15,,10.76,,si,10.95 (11.55) 10.26 11.08 (9.15),3x3x3 Cube Final,0,2025
16,Marcel Ručigaj,8.90,,11.01,,si,(19.61) 9.86 10.32 12.85 (8.90),3x3x3 Cube Final,0,2025
