Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,6.41,,7.48,,ru,7.50 7.42 (7.94) (6.41) 7.51,3x3x3 Cube Final,0,2022
2,Staš Zupanc,7.85,,8.74,,si,(10.53) 9.47 8.64 8.10 (7.85),3x3x3 Cube Final,0,2022
3,Benedek Zimányi,8.10,,9.10,,hu,(10.81) 9.25 9.16 (8.10) 8.88,3x3x3 Cube Final,0,2022
4,Kristóf Veres,7.87,,9.36,,hu,8.31 (11.72) 10.65 9.13 (7.87),3x3x3 Cube Final,0,2022
5,Marcel Ručigaj,7.79,,9.39,,si,(7.79) 10.24 (10.38) 9.58 8.35,3x3x3 Cube Final,0,2022
6,Bence Barát,8.00,,9.86,,hu,10.02 9.85 (8.00) (10.80) 9.70,3x3x3 Cube Final,0,2022
7,Gergely Novotni,8.54,,9.94,,hu,9.61 (10.74) (8.54) 10.48 9.73,3x3x3 Cube Final,0,2022
8,Bálint Csengő,8.51,,10.03,,hu,9.12 9.20 (11.82) 11.76 (8.51),3x3x3 Cube Final,0,2022
9,Szabolcs Szántai,8.81,,10.33,,hu,9.37 10.94 (8.81) (10.99) 10.68,3x3x3 Cube Final,0,2022
10,Matic Omulec,9.92,,10.86,,si,(13.67) (9.92) 10.73 10.96 10.90,3x3x3 Cube Final,0,2022
