Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,5.38,,6.51,,ru,6.22 6.59 (8.82) 6.71 (5.38),3x3x3 Cube Second round,2,2025
2,Thomas Strasser,6.61,,7.77,,at,(6.61) 7.32 8.36 7.62 (9.80),3x3x3 Cube Second round,2,2025
3,Gábor Slezák,6.88,,7.87,,hu,(9.08) 7.62 (6.88) 8.75 7.24,3x3x3 Cube Second round,2,2025
4,Dávid Szabó,6.14,,7.93,,hu,(6.14) 8.03 9.28 (9.79) 6.48,3x3x3 Cube Second round,2,2025
5,Lana Bedek,7.44,,7.96,,hr,7.69 (7.44) (9.13) 8.13 8.06,3x3x3 Cube Second round,2,2025
6,Ádám Szabó,7.50,,8.22,,hu,8.77 8.10 (10.90) 7.80 (7.50),3x3x3 Cube Second round,2,2025
7,Oliver Fritz,7.58,,8.31,,de,(9.40) 7.89 8.62 (7.58) 8.42,3x3x3 Cube Second round,2,2025
8,Marcel Ručigaj,7.88,,8.36,,si,(8.74) 8.14 8.72 8.23 (7.88),3x3x3 Cube Second round,2,2025
9,Oskar Vidiček,7.96,,8.43,,si,(10.25) (7.96) 8.53 8.17 8.58,3x3x3 Cube Second round,2,2025
10,Simon Praschl,8.19,,8.67,,at,(9.29) 8.33 9.16 8.52 (8.19),3x3x3 Cube Second round,2,2025
11,Gergely Novotni,8.13,,8.69,,hu,(8.13) 8.39 8.87 (9.06) 8.81,3x3x3 Cube Second round,2,2025
12,Jakov Srečković,8.04,,8.93,,hr,(8.04) (9.69) 8.46 8.90 9.44,3x3x3 Cube Second round,2,2025
13,Szabolcs Szántai,8.32,,9.04,,hu,(8.32) 8.72 (10.76) 9.87 8.52,3x3x3 Cube Second round,2,2025
14,Szymon Brzana,8.90,,9.14,,pl,(10.06) 9.01 (8.90) 8.99 9.41,3x3x3 Cube Second round,2,2025
15,Tomaž Saje,8.35,,9.22,,si,8.50 9.24 (10.14) 9.92 (8.35),3x3x3 Cube Second round,2,2025
16,David Vujasić,7.53,,9.25,,hr,(7.53) (11.27) 10.21 8.05 9.48,3x3x3 Cube Second round,2,2025
17,Benedek Zimányi,7.63,,9.30,,hu,9.66 8.68 (7.63) (9.98) 9.56,3x3x3 Cube Second round,2,2025
18,Matej Marčok,8.89,,9.34,,rs,(8.89) 9.07 (9.67) 9.36 9.58,3x3x3 Cube Second round,2,2025
19,Simon Mars,7.87,,9.37,,si,(7.87) (10.50) 9.10 9.24 9.78,3x3x3 Cube Second round,2,2025
20,Jure Gregorc,7.73,,9.40,,si,9.09 8.69 (7.73) (11.42) 10.41,3x3x3 Cube Second round,2,2025
21,Piotr Olszewski,7.92,,9.52,,pl,9.19 (11.28) 10.48 (7.92) 8.89,3x3x3 Cube Second round,2,2025
22,Dmytro Vareniuk,8.11,,9.74,,ua,(11.29) (8.11) 10.73 9.82 8.67,3x3x3 Cube Second round,2,2025
23,Jakob Kitak,8.49,,9.75,,si,10.62 (11.46) 8.88 9.74 (8.49),3x3x3 Cube Second round,2,2025
24,Bruno Ivančić,8.83,,9.81,,hr,9.59 (10.94) 9.14 10.70 (8.83),3x3x3 Cube Second round,2,2025
25,Bence Kiácz,8.92,,9.81,,hu,(12.22) (8.92) 9.84 9.82 9.78,3x3x3 Cube Second round,2,2025
26,Anton Kokalj Pezzano,9.84,,10.01,,si,(10.59) (9.84) 10.12 10.03 9.89,3x3x3 Cube Second round,2,2025
27,Aleksa Radovanović,7.14,,10.03,,rs,10.08 (7.14) 10.74 (12.05) 9.28,3x3x3 Cube Second round,2,2025
28,Sebastian Feichtinger,9.41,,10.12,,at,10.35 9.65 (12.04) 10.35 (9.41),3x3x3 Cube Second round,2,2025
29,Łukasz Dubicki,8.43,,10.17,,pl,9.68 (10.84) 9.99 10.83 (8.43),3x3x3 Cube Second round,2,2025
30,Riccardo Fiumefreddo,8.30,,10.32,,it,10.41 10.66 9.90 (11.50) (8.30),3x3x3 Cube Second round,2,2025
31,Julian Ostadal,9.59,,10.54,,at,10.86 10.29 (11.35) 10.48 (9.59),3x3x3 Cube Second round,2,2025
32,Konstantin Jaehne,9.06,,10.66,,de,9.70 12.11 (14.89) 10.17 (9.06),3x3x3 Cube Second round,2,2025
33,Mara Vivien Puljić,10.35,,10.88,,hr,10.48 (10.35) (12.20) 10.85 11.31,3x3x3 Cube Second round,2,2025
34,Filip Premužić,10.22,,10.97,,hr,(11.83) 10.34 11.56 11.00 (10.22),3x3x3 Cube Second round,2,2025
