Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
49,Filip Judež,13.51,,16.75,,si,16.35 16.92 (13.51) 16.99 (17.48),3x3x3 Cube First round,3,2024
50,Gregor Mikic,13.14,,17.16,,si,13.53 19.76 (21.15) 18.20 (13.14),3x3x3 Cube First round,3,2024
51,Vigo Pernar,15.74,,17.18,,hr,(20.49) 17.95 17.61 15.98 (15.74),3x3x3 Cube First round,3,2024
52,Gal Brumec,16.40,,17.25,,si,17.03 (16.40) (18.40) 17.56 17.16,3x3x3 Cube First round,3,2024
53,Tajda Horvat,15.64,,17.52,,si,(15.64) 16.96 19.04 (23.21) 16.57,3x3x3 Cube First round,3,2024
54,David Ziegelwagner,14.12,,17.78,,at,17.93 17.24 (14.12) 18.18 (20.20),3x3x3 Cube First round,3,2024
55,Aljaž Turk,15.96,,17.78,,si,(20.74) 19.07 (15.96) 17.08 17.20,3x3x3 Cube First round,3,2024
56,Ludvik Domicijan Vrhovšek,14.98,,17.81,,si,(14.98) 17.78 (19.82) 16.50 19.14,3x3x3 Cube First round,3,2024
57,Matej Poljanšek,14.62,,18.47,,si,16.43 (27.48) 19.56 19.41 (14.62),3x3x3 Cube First round,3,2024
58,Lojze Perme,15.56,,18.69,,si,18.54 (19.08) 18.99 18.55 (15.56),3x3x3 Cube First round,3,2024
59,Danijel Bajsić,12.57,,18.73,,hr,(12.57) (24.50) 18.78 18.74 18.67,3x3x3 Cube First round,3,2024
60,David Kocjančič,17.19,,18.98,,si,20.23 (21.39) 17.31 (17.19) 19.40,3x3x3 Cube First round,3,2024
61,Nik Pevec,17.49,,19.10,,si,17.98 (23.66) 19.83 19.50 (17.49),3x3x3 Cube First round,3,2024
62,Klemen Bah,14.77,,19.46,,si,(23.27) (14.77) 22.94 18.59 16.84,3x3x3 Cube First round,3,2024
63,Gabriel Babić,15.87,,19.57,,hr,19.67 19.42 19.63 (21.40) (15.87),3x3x3 Cube First round,3,2024
64,Hussein Tariq,17.36,,19.58,,iq,(22.42) 18.06 21.19 (17.36) 19.49,3x3x3 Cube First round,3,2024
65,Jan Mihevc,16.61,,19.91,,si,(16.61) 20.19 21.62 17.93 (22.19),3x3x3 Cube First round,3,2024
66,Nejc Rihtaršič,14.71,,19.96,,si,19.20 20.19 (21.64) 20.50 (14.71),3x3x3 Cube First round,3,2024
67,Fabijan Kosar,11.47,,20.25,,hr,23.54 (26.75) 18.99 (11.47) 18.21,3x3x3 Cube First round,3,2024
68,Luka Lep,16.90,,20.31,,si,18.94 21.92 20.08 (23.61) (16.90),3x3x3 Cube First round,3,2024
69,Julijan Virag,18.48,,20.52,,si,22.11 20.74 (22.57) (18.48) 18.72,3x3x3 Cube First round,3,2024
70,Jernej Omulec,17.36,,20.53,,si,18.66 (17.36) 21.54 21.38 (25.65),3x3x3 Cube First round,3,2024
71,Branko Kobal,18.14,,20.59,,si,21.01 20.96 (26.25) 19.81 (18.14),3x3x3 Cube First round,3,2024
72,Jaka Horvat,15.32,,21.84,,si,18.28 (15.32) 18.65 28.59 (37.96),3x3x3 Cube First round,3,2024
73,Jan Gal Lončar,16.09,,21.96,,si,25.04 (DNF) 20.42 20.41 (16.09),3x3x3 Cube First round,3,2024
74,Blaž Fošnarič,17.77,,22.12,,si,(17.77) (28.34) 19.37 26.27 20.73,3x3x3 Cube First round,3,2024
75,Jernej Hebar,15.48,,23.41,,si,20.78 16.93 (15.48) (DNF) 32.51,3x3x3 Cube First round,3,2024
76,Marcel Žibret,18.59,,24.04,,si,25.93 24.39 21.81 (27.99) (18.59),3x3x3 Cube First round,3,2024
77,Albert Gracer,20.90,,24.20,,si,(40.08) 21.64 (20.90) 29.16 21.79,3x3x3 Cube First round,3,2024
78,Tian Hren,19.73,,24.52,,si,33.68 (38.31) (19.73) 20.14 19.73,3x3x3 Cube First round,3,2024
79,Marko Rajkovača,22.98,,25.61,,hr,25.98 (26.09) 25.36 (22.98) 25.48,3x3x3 Cube First round,3,2024
80,Tino Lah,20.52,,25.86,,si,(20.52) 25.42 (28.89) 26.91 25.24,3x3x3 Cube First round,3,2024
81,Lukáš Labuda,25.07,,25.88,,sk,25.16 (27.86) 25.36 27.13 (25.07),3x3x3 Cube First round,3,2024
82,Valter Ostruh,23.27,,26.16,,si,25.79 23.46 (DNF) 29.23 (23.27),3x3x3 Cube First round,3,2024
83,Julij Hladnik,21.25,,26.53,,si,23.44 28.68 (21.25) 27.48 (29.27),3x3x3 Cube First round,3,2024
