Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,5.28,,5.99,,ru,5.91 6.42 (6.92) 5.65 (5.28),3x3x3 Cube First round,3,2025
2,Dávid Szabó,5.65,,6.78,,hu,(8.52) 8.14 6.36 5.83 (5.65),3x3x3 Cube First round,3,2025
3,Thomas Strasser,5.98,,7.52,,at,7.17 (5.98) 8.42 (9.48) 6.97,3x3x3 Cube First round,3,2025
4,Gábor Slezák,6.75,,7.92,,hu,7.21 7.79 (10.88) 8.77 (6.75),3x3x3 Cube First round,3,2025
5,Oskar Vidiček,6.72,,7.95,,si,8.12 8.14 (6.72) 7.59 (8.15),3x3x3 Cube First round,3,2025
6,Oliver Fritz,7.45,,8.20,,de,7.51 (7.45) (9.21) 8.81 8.29,3x3x3 Cube First round,3,2025
7,Ádám Szabó,6.82,,8.39,,hu,8.03 9.34 (6.82) (12.03) 7.80,3x3x3 Cube First round,3,2025
8,Matej Marčok,7.99,,8.62,,rs,8.30 8.95 8.60 (10.07) (7.99),3x3x3 Cube First round,3,2025
9,Bence Kiácz,8.48,,9.19,,hu,8.53 10.26 (8.48) 8.79 (10.43),3x3x3 Cube First round,3,2025
10,Benedek Zimányi,8.08,,9.25,,hu,8.53 (8.08) 9.24 (11.02) 9.99,3x3x3 Cube First round,3,2025
11,Gergely Novotni,7.70,,9.37,,hu,8.71 10.55 (10.73) 8.86 (7.70),3x3x3 Cube First round,3,2025
12,Aleksa Radovanović,8.42,,9.40,,rs,8.98 9.74 (10.35) (8.42) 9.48,3x3x3 Cube First round,3,2025
13,Marcel Ručigaj,8.40,,9.46,,si,9.31 8.93 10.13 (8.40) (10.91),3x3x3 Cube First round,3,2025
14,Szabolcs Szántai,9.15,,9.48,,hu,9.46 (9.15) 9.48 9.50 (12.69),3x3x3 Cube First round,3,2025
