Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alwin Federsel,6.94,,7.87,,at,7.47 (DNF) 8.51 7.64 (6.94),3x3x3 Cube Second round,2,2024
2,Michael Liubarets,7.00,,8.17,,ua,7.16 (7.00) 9.21 8.14 (9.30),3x3x3 Cube Second round,2,2024
3,Dávid Szabó,7.95,,8.64,,hu,8.91 (DNF) (7.95) 8.50 8.51,3x3x3 Cube Second round,2,2024
4,Taiyo Berčič,7.14,,9.27,,si,7.18 8.00 (DNF) (7.14) 12.63,3x3x3 Cube Second round,2,2024
5,Bruno Di Renzo John,8.38,,9.31,,de,(8.38) 10.14 8.50 9.28 (11.42),3x3x3 Cube Second round,2,2024
6,Ádám Szabó,9.10,,9.36,,hu,9.35 9.58 (11.28) 9.16 (9.10),3x3x3 Cube Second round,2,2024
7,Oskar Vidiček,8.71,,9.40,,si,9.65 (8.71) (11.22) 9.19 9.35,3x3x3 Cube Second round,2,2024
8,David Vujasić,7.87,,9.75,,hr,9.55 (10.35) 9.77 (7.87) 9.94,3x3x3 Cube Second round,2,2024
9,Marcel Ručigaj,7.67,,9.99,,si,(10.86) 9.33 10.73 9.90 (7.67),3x3x3 Cube Second round,2,2024
10,Aleksa Radovanović,9.26,,10.21,,rs,10.28 (10.67) 10.03 (9.26) 10.32,3x3x3 Cube Second round,2,2024
11,Simon Mars,9.14,,10.32,,si,10.72 10.60 9.65 (9.14) (12.71),3x3x3 Cube Second round,2,2024
12,Bruno Ivančić,8.44,,10.38,,hr,10.15 10.71 (13.26) (8.44) 10.28,3x3x3 Cube Second round,2,2024
13,Filip Premužić,9.77,,10.98,,hr,9.87 (14.55) 11.98 (9.77) 11.09,3x3x3 Cube Second round,2,2024
14,Benedek Szepesi-Réder,9.07,,11.27,,hu,(9.07) 11.75 (14.60) 9.95 12.12,3x3x3 Cube Second round,2,2024
15,Matic Omulec,9.45,,11.27,,si,11.36 11.47 (13.60) (9.45) 10.98,3x3x3 Cube Second round,2,2024
16,Jakov Srečković,9.07,,11.36,,hr,12.97 11.17 9.95 (9.07) (13.21),3x3x3 Cube Second round,2,2024
17,Anton Kokalj Pezzano,9.91,,11.55,,si,11.83 (9.91) (13.36) 12.10 10.71,3x3x3 Cube Second round,2,2024
18,Stanko Perme,10.50,,11.87,,si,(12.65) (10.50) 11.96 11.31 12.33,3x3x3 Cube Second round,2,2024
19,Tomaž Saje,10.36,,11.93,,si,11.23 (16.33) (10.36) 13.15 11.42,3x3x3 Cube Second round,2,2024
20,Serafim Weiß,9.24,,11.98,,de,(9.24) 11.64 (12.83) 11.67 12.62,3x3x3 Cube Second round,2,2024
21,Muxi Yan,9.34,,12.13,,es,11.92 (9.34) 12.63 (18.63) 11.84,3x3x3 Cube Second round,2,2024
22,Tisa Megušar,10.85,,12.17,,si,11.40 12.50 (10.85) (13.47) 12.62,3x3x3 Cube Second round,2,2024
23,Izak Lepej,11.96,,12.69,,si,13.19 12.02 (11.96) (14.01) 12.85,3x3x3 Cube Second round,2,2024
24,Roman Sokolovskyi,10.47,,12.70,,ua,10.74 (10.47) 13.88 13.48 (21.57),3x3x3 Cube Second round,2,2024
25,Felix Strasser,11.44,,12.80,,at,(11.44) 12.95 11.95 13.51 (14.06),3x3x3 Cube Second round,2,2024
26,Konstantin Jaehne,11.91,,12.86,,de,(19.97) 13.88 12.09 (11.91) 12.60,3x3x3 Cube Second round,2,2024
27,Nenad Marjanović,11.80,,13.05,,hr,(13.50) 12.83 (11.80) 12.87 13.46,3x3x3 Cube Second round,2,2024
28,Barbara Kralj,11.34,,13.17,,hr,11.94 (15.79) 13.12 (11.34) 14.45,3x3x3 Cube Second round,2,2024
29,Nemanja Vujnović,10.72,,13.28,,ba,13.41 (14.08) 12.98 (10.72) 13.46,3x3x3 Cube Second round,2,2024
30,Marko Obradović,11.18,,13.31,,si,11.68 (11.18) 14.23 (15.55) 14.01,3x3x3 Cube Second round,2,2024
31,Filip Barbirič Frank,11.48,,13.45,,si,(11.48) 14.16 (14.56) 13.30 12.89,3x3x3 Cube Second round,2,2024
32,Matej Brkić,9.53,,13.55,,si,(9.53) 12.31 13.51 (14.86) 14.82,3x3x3 Cube Second round,2,2024
33,Blaž Kovačič,13.20,,13.68,,si,13.39 13.45 (15.73) 14.20 (13.20),3x3x3 Cube Second round,2,2024
34,Filip Judež,11.81,,13.72,,si,(16.26) 13.17 13.20 (11.81) 14.80,3x3x3 Cube Second round,2,2024
35,Riccardo Fiumefreddo,12.44,,13.91,,it,(12.44) 14.33 (14.74) 14.59 12.81,3x3x3 Cube Second round,2,2024
36,Dušan Zakelšek,12.08,,14.00,,si,13.12 14.43 14.45 (12.08) (14.95),3x3x3 Cube Second round,2,2024
37,Marin Grgić,11.96,,14.05,,hr,(11.96) 15.88 (24.68) 12.10 14.18,3x3x3 Cube Second round,2,2024
38,Oskar Hudomalj,11.36,,14.20,,si,(11.36) 14.42 12.99 15.20 (15.48),3x3x3 Cube Second round,2,2024
39,Erin Pernar,13.51,,14.71,,hr,15.52 14.08 (16.32) (13.51) 14.52,3x3x3 Cube Second round,2,2024
40,Jakob Hladnik,13.53,,14.94,,si,(18.34) (13.53) 15.58 14.11 15.14,3x3x3 Cube Second round,2,2024
41,Jakob Kitak,10.48,,15.04,,si,(10.48) 14.98 10.73 (DNF) 19.40,3x3x3 Cube Second round,2,2024
42,Jernej Šubelj,12.70,,15.20,,si,14.97 15.81 (12.70) 14.83 (17.58),3x3x3 Cube Second round,2,2024
43,Bartul Marušić,12.13,,15.21,,hr,14.06 16.75 (18.02) (12.13) 14.81,3x3x3 Cube Second round,2,2024
44,Roko Mihael Ivić,11.94,,15.66,,hr,15.91 (19.90) 14.15 (11.94) 16.93,3x3x3 Cube Second round,2,2024
45,Jernej Hebar,14.16,,15.98,,si,(20.49) (14.16) 14.79 16.51 16.65,3x3x3 Cube Second round,2,2024
46,Tajda Horvat,13.71,,16.18,,si,17.04 17.45 14.04 (13.71) (18.31),3x3x3 Cube Second round,2,2024
47,Aljaž Turk,13.23,,16.25,,si,(13.23) 17.26 15.34 (47.59) 16.15,3x3x3 Cube Second round,2,2024
48,Gregor Mikic,13.88,,16.25,,si,(17.79) 17.10 16.78 (13.88) 14.87,3x3x3 Cube Second round,2,2024
49,Lojze Perme,16.10,,16.40,,si,16.87 16.16 (16.10) 16.18 (20.94),3x3x3 Cube Second round,2,2024
50,Tom Macele,15.13,,16.43,,si,17.21 16.48 15.59 (15.13) (22.47),3x3x3 Cube Second round,2,2024
51,Kajetan Markič,12.31,,16.48,,si,15.26 14.99 19.19 (12.31) (26.13),3x3x3 Cube Second round,2,2024
52,Albert Erdelez,13.04,,16.67,,hr,17.25 (19.31) 16.40 (13.04) 16.36,3x3x3 Cube Second round,2,2024
