Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Dávid Szabó,6.59,,7.76,,hu,(11.56) (6.59) 7.31 7.94 8.02,3x3x3 Cube Final,0,2024
2,Alwin Federsel,7.42,,8.10,,at,(10.93) (7.42) 8.08 8.54 7.68,3x3x3 Cube Final,0,2024
3,Michael Liubarets,7.32,,8.16,,ua,8.00 (7.32) (10.34) 7.66 8.82,3x3x3 Cube Final,0,2024
4,Taiyo Berčič,6.40,,8.40,,si,7.83 (6.40) 8.26 (9.22) 9.11,3x3x3 Cube Final,0,2024
5,David Vujasić,8.13,,8.69,,hr,(8.13) 8.85 9.03 (10.73) 8.20,3x3x3 Cube Final,0,2024
6,Marcel Ručigaj,6.87,,9.06,,si,9.33 8.95 8.90 (6.87) (10.81),3x3x3 Cube Final,0,2024
7,Bruno Di Renzo John,8.50,,9.40,,de,9.32 9.43 9.45 (9.71) (8.50),3x3x3 Cube Final,0,2024
8,Jakob Kitak,8.33,,9.41,,si,(11.86) 9.67 8.81 (8.33) 9.74,3x3x3 Cube Final,0,2024
9,Oskar Vidiček,8.01,,9.67,,si,9.44 (8.01) 9.49 (12.84) 10.08,3x3x3 Cube Final,0,2024
10,Matic Omulec,7.49,,9.78,,si,10.34 8.28 (7.49) (14.03) 10.73,3x3x3 Cube Final,0,2024
11,Ádám Szabó,7.93,,10.35,,hu,10.05 11.70 (7.93) (DNF) 9.31,3x3x3 Cube Final,0,2024
12,Anton Kokalj Pezzano,9.44,,10.66,,si,10.00 9.60 12.39 (14.44) (9.44),3x3x3 Cube Final,0,2024
13,Jakov Srečković,10.27,,10.91,,hr,10.82 10.78 (10.27) (11.55) 11.14,3x3x3 Cube Final,0,2024
14,Benedek Szepesi-Réder,9.41,,11.26,,hu,11.72 (9.41) (11.75) 10.81 11.26,3x3x3 Cube Final,0,2024
15,Tomaž Saje,9.39,,11.41,,si,11.40 10.88 (9.39) 11.94 (14.76),3x3x3 Cube Final,0,2024
16,Muxi Yan,9.26,,11.51,,es,(9.26) 10.11 11.59 12.84 (13.89),3x3x3 Cube Final,0,2024
17,Simon Mars,8.79,,11.70,,si,(8.79) 11.99 11.34 11.78 (DNF),3x3x3 Cube Final,0,2024
18,Bruno Ivančić,9.58,,12.27,,hr,(9.58) (13.96) 11.53 13.85 11.42,3x3x3 Cube Final,0,2024
19,Filip Barbirič Frank,10.79,,12.54,,si,(13.44) (10.79) 12.22 12.03 13.37,3x3x3 Cube Final,0,2024
20,Serafim Weiß,10.73,,13.74,,de,(15.97) 14.94 11.74 (10.73) 14.53,3x3x3 Cube Final,0,2024
