Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alwin Federsel,6.41,,7.55,,at,(9.76) 8.14 7.71 (6.41) 6.80,3x3x3 Cube Semi Final,1,2024
2,Michael Liubarets,6.69,,7.79,,ua,8.35 7.32 7.70 (6.69) (8.57),3x3x3 Cube Semi Final,1,2024
3,David Vujasić,7.14,,8.57,,hr,(12.31) 8.83 8.76 (7.14) 8.13,3x3x3 Cube Semi Final,1,2024
4,Taiyo Berčič,7.61,,8.94,,si,(7.61) 9.66 (10.10) 8.86 8.31,3x3x3 Cube Semi Final,1,2024
5,Dávid Szabó,7.77,,9.13,,hu,8.86 9.88 (12.69) 8.66 (7.77),3x3x3 Cube Semi Final,1,2024
6,Ádám Szabó,7.60,,9.19,,hu,(9.40) 8.90 9.33 9.35 (7.60),3x3x3 Cube Semi Final,1,2024
7,Aleksa Radovanović,8.09,,9.35,,rs,(13.44) 10.47 9.05 (8.09) 8.54,3x3x3 Cube Semi Final,1,2024
8,Oskar Vidiček,8.26,,9.40,,si,(8.26) 8.85 8.38 10.98 (12.97),3x3x3 Cube Semi Final,1,2024
9,Matic Omulec,8.40,,9.67,,si,10.12 9.10 (8.40) 9.80 (10.40),3x3x3 Cube Semi Final,1,2024
10,Simon Mars,7.93,,9.98,,si,9.89 10.29 (7.93) 9.77 (DNF),3x3x3 Cube Semi Final,1,2024
11,Jakov Srečković,8.56,,10.12,,hr,(8.56) 10.66 9.12 10.57 (10.98),3x3x3 Cube Semi Final,1,2024
12,Marcel Ručigaj,8.45,,10.16,,si,9.69 (8.45) 10.73 10.06 (10.78),3x3x3 Cube Semi Final,1,2024
13,Muxi Yan,10.24,,10.58,,es,(11.45) (10.24) 10.38 10.62 10.73,3x3x3 Cube Semi Final,1,2024
14,Benedek Szepesi-Réder,9.96,,10.60,,hu,10.18 (11.32) (9.96) 10.86 10.77,3x3x3 Cube Semi Final,1,2024
15,Bruno Di Renzo John,9.14,,10.78,,de,11.13 10.93 (9.14) 10.28 (11.60),3x3x3 Cube Semi Final,1,2024
16,Tomaž Saje,9.32,,10.82,,si,9.50 12.75 (9.32) (17.82) 10.21,3x3x3 Cube Semi Final,1,2024
17,Jakob Kitak,8.06,,10.90,,si,(8.06) (11.27) 10.72 10.85 11.14,3x3x3 Cube Semi Final,1,2024
18,Bruno Ivančić,9.30,,10.97,,hr,(9.30) 10.04 11.06 (13.57) 11.82,3x3x3 Cube Semi Final,1,2024
19,Serafim Weiß,10.29,,11.01,,de,11.14 (12.38) 10.85 (10.29) 11.03,3x3x3 Cube Semi Final,1,2024
20,Anton Kokalj Pezzano,9.94,,11.02,,si,(11.41) (9.94) 11.08 10.86 11.12,3x3x3 Cube Semi Final,1,2024
21,Filip Barbirič Frank,10.26,,11.46,,si,(10.26) 11.22 11.39 (18.52) 11.77,3x3x3 Cube Semi Final,1,2024
22,Konstantin Jaehne,10.48,,11.54,,de,11.87 (12.98) 11.83 (10.48) 10.92,3x3x3 Cube Semi Final,1,2024
23,Matej Brkić,11.09,,11.55,,si,11.18 11.71 (11.09) 11.77 (12.59),3x3x3 Cube Semi Final,1,2024
24,Stanko Perme,8.69,,11.69,,si,11.68 12.18 (8.69) 11.22 (14.60),3x3x3 Cube Semi Final,1,2024
25,Nemanja Vujnović,10.08,,11.90,,ba,(10.08) 13.25 (17.91) 11.28 11.16,3x3x3 Cube Semi Final,1,2024
26,Barbara Kralj,11.73,,12.20,,hr,12.24 11.83 (13.96) (11.73) 12.54,3x3x3 Cube Semi Final,1,2024
27,Filip Premužić,10.25,,12.31,,hr,11.41 12.16 13.37 (14.09) (10.25),3x3x3 Cube Semi Final,1,2024
28,Roman Sokolovskyi,11.22,,12.48,,ua,12.24 12.43 12.76 (14.42) (11.22),3x3x3 Cube Semi Final,1,2024
29,Riccardo Fiumefreddo,10.81,,12.66,,it,11.95 (10.81) (13.68) 12.86 13.18,3x3x3 Cube Semi Final,1,2024
30,Nenad Marjanović,9.98,,12.82,,hr,(9.98) 10.82 (15.78) 12.90 14.75,3x3x3 Cube Semi Final,1,2024
31,Tisa Megušar,11.84,,12.93,,si,(15.32) 14.36 (11.84) 12.38 12.06,3x3x3 Cube Semi Final,1,2024
32,Felix Strasser,10.85,,13.07,,at,12.15 (15.03) (10.85) 12.19 14.88,3x3x3 Cube Semi Final,1,2024
33,Erin Pernar,12.32,,13.30,,hr,(14.39) 13.09 (12.32) 12.87 13.94,3x3x3 Cube Semi Final,1,2024
34,Marko Obradović,11.87,,13.83,,si,(11.87) (15.46) 14.06 14.91 12.52,3x3x3 Cube Semi Final,1,2024
35,Izak Lepej,13.11,,13.94,,si,(13.11) 13.46 13.39 (16.92) 14.97,3x3x3 Cube Semi Final,1,2024
36,Filip Judež,13.24,,14.15,,si,(14.69) 13.64 14.34 14.46 (13.24),3x3x3 Cube Semi Final,1,2024
37,Roko Mihael Ivić,12.32,,14.79,,hr,13.99 (17.30) 13.90 16.47 (12.32),3x3x3 Cube Semi Final,1,2024
38,Marin Grgić,11.12,,14.90,,hr,16.41 13.01 (16.46) 15.29 (11.12),3x3x3 Cube Semi Final,1,2024
39,David Ziegelwagner,13.35,,15.38,,at,13.71 16.66 (13.35) (17.14) 15.76,3x3x3 Cube Semi Final,1,2024
40,Jernej Šubelj,12.70,,15.48,,si,15.08 (18.43) 14.38 16.97 (12.70),3x3x3 Cube Semi Final,1,2024
41,Oskar Hudomalj,13.81,,15.57,,si,15.40 16.42 (16.62) 14.90 (13.81),3x3x3 Cube Semi Final,1,2024
42,Jakob Hladnik,14.49,,15.58,,si,(20.25) 15.72 15.39 (14.49) 15.63,3x3x3 Cube Semi Final,1,2024
43,Dušan Zakelšek,14.64,,15.61,,si,16.08 16.09 (18.20) 14.67 (14.64),3x3x3 Cube Semi Final,1,2024
44,Urh Remic,13.98,,16.04,,si,14.21 (13.98) 17.37 (23.58) 16.54,3x3x3 Cube Semi Final,1,2024
45,Tajda Horvat,13.79,,16.22,,si,(13.79) 19.08 15.12 14.46 (19.39),3x3x3 Cube Semi Final,1,2024
46,Gregor Mikic,13.07,,16.29,,si,21.44 (13.07) (23.53) 13.63 13.81,3x3x3 Cube Semi Final,1,2024
47,Klemen Bah,14.20,,16.42,,si,(17.84) 16.50 17.16 (14.20) 15.61,3x3x3 Cube Semi Final,1,2024
48,Bartul Marušić,13.98,,16.48,,hr,17.00 15.65 16.79 (13.98) (21.57),3x3x3 Cube Semi Final,1,2024
49,Danijel Bajsić,15.58,,16.72,,hr,17.35 (15.58) 16.82 15.99 (18.49),3x3x3 Cube Semi Final,1,2024
50,Blaž Kovačič,13.68,,16.75,,si,(13.68) 16.87 (DNF) 17.68 15.69,3x3x3 Cube Semi Final,1,2024
51,Albert Erdelez,15.60,,16.92,,hr,(18.00) (15.60) 17.69 17.28 15.79,3x3x3 Cube Semi Final,1,2024
52,Lojze Perme,14.96,,17.01,,si,18.80 15.18 (18.87) (14.96) 17.04,3x3x3 Cube Semi Final,1,2024
