Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,4.90,,6.64,,ru,(4.90) (10.39) 7.91 5.58 6.43,3x3x3 Cube Semi Final,1,2025
2,Dávid Szabó,5.26,,6.78,,hu,(5.26) 7.22 6.52 (7.82) 6.60,3x3x3 Cube Semi Final,1,2025
3,Gábor Slezák,6.27,,7.34,,hu,(8.52) 7.29 7.34 (6.27) 7.38,3x3x3 Cube Semi Final,1,2025
4,Lana Bedek,5.92,,7.48,NR,hr,(10.08) (5.92) 7.22 7.13 8.08,3x3x3 Cube Semi Final,1,2025
5,Thomas Strasser,6.80,,7.66,,at,(9.78) 7.48 7.05 8.46 (6.80),3x3x3 Cube Semi Final,1,2025
6,Ádám Szabó,6.91,,8.48,,hu,8.31 8.58 (6.91) 8.54 (9.98),3x3x3 Cube Semi Final,1,2025
7,Gergely Novotni,7.68,,8.52,,hu,(10.43) 8.18 8.44 (7.68) 8.94,3x3x3 Cube Semi Final,1,2025
8,Oliver Fritz,8.17,,8.77,,de,(11.11) 8.39 9.41 (8.17) 8.52,3x3x3 Cube Semi Final,1,2025
9,Matej Marčok,7.38,,8.91,,rs,(7.38) 8.06 (11.44) 8.25 10.42,3x3x3 Cube Semi Final,1,2025
10,Marcel Ručigaj,8.46,,8.91,,si,8.79 8.87 (8.46) 9.08 (10.10),3x3x3 Cube Semi Final,1,2025
11,David Vujasić,8.51,,9.00,,hr,8.65 8.57 9.77 (10.28) (8.51),3x3x3 Cube Semi Final,1,2025
12,Oskar Vidiček,7.40,,9.07,,si,8.50 (9.48) 9.27 9.44 (7.40),3x3x3 Cube Semi Final,1,2025
13,Aleksa Radovanović,8.01,,9.37,,rs,9.52 (8.01) 8.81 9.78 (10.17),3x3x3 Cube Semi Final,1,2025
14,Simon Mars,8.83,,9.37,,si,9.77 9.40 (8.83) (9.99) 8.95,3x3x3 Cube Semi Final,1,2025
15,Piotr Olszewski,7.35,,9.38,,pl,9.10 10.82 8.21 (13.46) (7.35),3x3x3 Cube Semi Final,1,2025
16,Benedek Zimányi,8.35,,9.46,,hu,10.03 (11.21) 9.28 (8.35) 9.08,3x3x3 Cube Semi Final,1,2025
17,Anton Kokalj Pezzano,7.17,,9.62,,si,9.20 (7.17) 10.64 (13.37) 9.02,3x3x3 Cube Semi Final,1,2025
18,Szabolcs Szántai,8.90,,9.62,,hu,9.82 10.07 (10.26) 8.98 (8.90),3x3x3 Cube Semi Final,1,2025
19,Szymon Brzana,7.58,,9.67,,pl,9.50 (10.88) 9.79 9.71 (7.58),3x3x3 Cube Semi Final,1,2025
20,Simon Praschl,7.81,,9.73,,at,(11.28) 11.17 9.18 8.84 (7.81),3x3x3 Cube Semi Final,1,2025
21,Sebastian Feichtinger,8.41,,9.73,,at,10.22 9.50 9.46 (10.48) (8.41),3x3x3 Cube Semi Final,1,2025
22,Bence Kiácz,9.51,,9.89,,hu,(12.12) 9.79 10.13 9.75 (9.51),3x3x3 Cube Semi Final,1,2025
23,Jakov Srečković,7.71,,9.94,,hr,10.05 9.51 10.26 (13.05) (7.71),3x3x3 Cube Semi Final,1,2025
24,Riccardo Fiumefreddo,8.64,,9.98,,it,(11.57) 10.34 10.19 (8.64) 9.40,3x3x3 Cube Semi Final,1,2025
25,Jakob Kitak,8.93,,10.14,,si,(11.01) 10.56 9.20 (8.93) 10.66,3x3x3 Cube Semi Final,1,2025
26,Dmytro Vareniuk,7.60,,10.29,,ua,9.96 10.28 10.63 (7.60) (12.55),3x3x3 Cube Semi Final,1,2025
27,Julian Ostadal,9.67,,10.29,,at,10.36 (11.57) 10.76 (9.67) 9.74,3x3x3 Cube Semi Final,1,2025
28,Jure Gregorc,8.87,,10.30,,si,10.17 10.53 (8.87) (11.40) 10.19,3x3x3 Cube Semi Final,1,2025
29,Tomaž Saje,8.29,,10.43,,si,9.61 10.43 (11.96) 11.26 (8.29),3x3x3 Cube Semi Final,1,2025
30,Łukasz Dubicki,9.43,,10.71,,pl,9.49 (9.43) 11.83 (DNF) 10.80,3x3x3 Cube Semi Final,1,2025
31,Mara Vivien Puljić,10.24,,10.76,,hr,(12.54) 10.42 11.47 10.38 (10.24),3x3x3 Cube Semi Final,1,2025
32,Matic Omulec,9.94,,10.98,,si,11.26 11.52 (13.22) (9.94) 10.15,3x3x3 Cube Semi Final,1,2025
33,Barbara Kralj,9.66,,11.61,,hr,(12.24) 11.65 11.09 (9.66) 12.08,3x3x3 Cube Semi Final,1,2025
34,Marko Obradović,10.69,,11.64,,si,(14.37) 12.52 11.05 (10.69) 11.36,3x3x3 Cube Semi Final,1,2025
35,Filip Premužić,9.25,,11.78,,hr,(15.21) 14.21 10.63 (9.25) 10.49,3x3x3 Cube Semi Final,1,2025
36,Bruno Ivančić,10.80,,11.81,,hr,(10.80) 12.14 (12.58) 11.14 12.16,3x3x3 Cube Semi Final,1,2025
37,Tisa Megušar,10.77,,11.87,,si,(10.77) (13.33) 11.21 12.16 12.24,3x3x3 Cube Semi Final,1,2025
38,Paul Aurednik,10.73,,12.05,,at,(13.34) 11.87 (10.73) 11.73 12.55,3x3x3 Cube Semi Final,1,2025
