Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Bálint Csengő,7.32,,8.38,,hu,(9.20) 8.57 8.26 8.30 (7.32),3x3x3 Cube First round,2,2023
2,Alwin Federsel,6.73,,8.76,,at,9.36 (9.54) 9.26 7.67 (6.73),3x3x3 Cube First round,2,2023
3,Marcel Ručigaj,7.47,,8.84,,si,(7.47) 8.68 9.14 (9.25) 8.71,3x3x3 Cube First round,2,2023
4,David Vujasić,8.44,,8.85,,hr,9.39 8.70 (12.77) (8.44) 8.45,3x3x3 Cube First round,2,2023
5,Benedek Zimányi,8.50,,8.95,,hu,8.86 (9.80) 9.01 8.98 (8.50),3x3x3 Cube First round,2,2023
6,Gergely Novotni,8.23,,9.36,,hu,(8.23) 8.82 10.21 9.05 (10.72),3x3x3 Cube First round,2,2023
7,Taiyo Berčič,9.07,,9.96,,si,(9.07) 9.60 9.38 (11.47) 10.90,3x3x3 Cube First round,2,2023
8,Szabolcs Szántai,8.99,,10.02,,hu,10.12 10.06 (11.58) 9.87 (8.99),3x3x3 Cube First round,2,2023
9,Alexander Tenev,8.48,,10.18,,bg,10.06 10.11 (11.35) 10.38 (8.48),3x3x3 Cube First round,2,2023
10,Ádám Szabó,9.28,,10.23,,hu,10.24 10.67 (10.93) 9.79 (9.28),3x3x3 Cube First round,2,2023
11,Benedek Hirth,7.96,,10.28,,hu,(11.67) 11.30 (7.96) 9.62 9.93,3x3x3 Cube First round,2,2023
12,Dávid Szabó,7.77,,10.55,,hu,(13.11) 10.80 (7.77) 9.35 11.50,3x3x3 Cube First round,2,2023
13,Jakov Srečković,9.32,,10.60,,hr,10.63 (12.05) (9.32) 11.65 9.53,3x3x3 Cube First round,2,2023
14,András Orbán,10.05,,10.72,,hu,11.15 10.93 (14.31) 10.09 (10.05),3x3x3 Cube First round,2,2023
15,Matic Omulec,9.98,,10.84,,si,(12.59) 10.59 10.40 (9.98) 11.54,3x3x3 Cube First round,2,2023
16,Bence Kiácz,10.00,,10.95,,hu,10.85 (10.00) (12.49) 10.66 11.34,3x3x3 Cube First round,2,2023
17,Tino Joksch,8.96,,11.20,,at,11.43 10.04 12.14 (8.96) (14.09),3x3x3 Cube First round,2,2023
18,Matej Brkić,11.55,,11.95,,si,(13.97) (11.55) 11.78 12.45 11.61,3x3x3 Cube First round,2,2023
