Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,David Vujasić,7.73,,8.89,,hr,8.18 8.68 (7.73) 9.80 (9.92),3x3x3 Cube Second round,1,2023
2,Alwin Federsel,6.58,,8.94,,at,7.06 (10.25) 10.21 9.55 (6.58),3x3x3 Cube Second round,1,2023
3,Gergely Novotni,8.42,,9.27,,hu,8.77 (8.42) 8.78 10.26 (10.90),3x3x3 Cube Second round,1,2023
4,Benedek Zimányi,7.65,,9.34,,hu,9.62 (7.65) 9.30 9.09 (11.21),3x3x3 Cube Second round,1,2023
5,Taiyo Berčič,8.40,,9.54,,si,8.80 (8.40) 10.55 9.26 (12.91),3x3x3 Cube Second round,1,2023
6,Alexander Tenev,8.70,,9.54,,bg,(10.22) 9.47 9.71 (8.70) 9.45,3x3x3 Cube Second round,1,2023
7,Bálint Csengő,7.14,,9.61,,hu,(10.33) 10.01 9.84 8.98 (7.14),3x3x3 Cube Second round,1,2023
8,Bence Kiácz,9.24,,10.03,,hu,(9.24) 10.36 10.29 9.45 (10.69),3x3x3 Cube Second round,1,2023
9,Szabolcs Szántai,9.18,,10.53,,hu,11.26 9.51 10.83 (9.18) (11.53),3x3x3 Cube Second round,1,2023
10,Marcel Ručigaj,9.71,,10.56,,si,10.89 (9.71) 10.67 (11.50) 10.11,3x3x3 Cube Second round,1,2023
11,Benedek Hirth,8.59,,10.59,,hu,(11.99) 11.38 10.94 9.44 (8.59),3x3x3 Cube Second round,1,2023
12,Dávid Szabó,9.99,,10.98,,hu,(9.99) 11.84 (12.28) 10.90 10.20,3x3x3 Cube Second round,1,2023
13,András Orbán,8.57,,11.01,,hu,11.84 (8.57) (12.11) 9.84 11.36,3x3x3 Cube Second round,1,2023
14,Tino Joksch,9.32,,11.06,,at,10.79 12.82 (9.32) (15.42) 9.56,3x3x3 Cube Second round,1,2023
15,Matic Omulec,9.64,,11.26,,si,(14.63) (9.64) 11.72 12.12 9.95,3x3x3 Cube Second round,1,2023
16,Jakov Srečković,10.04,,11.47,,hr,10.73 11.56 (10.04) 12.13 (DNF),3x3x3 Cube Second round,1,2023
17,Nemanja Vujnović,10.91,,11.49,,ba,11.03 11.34 12.11 (10.91) (12.15),3x3x3 Cube Second round,1,2023
18,Ádám Szabó,10.03,,11.51,,hu,10.69 13.28 (10.03) (13.84) 10.56,3x3x3 Cube Second round,1,2023
19,Jakob Kitak,9.35,,12.00,,si,11.94 (9.35) 14.53 9.53 (14.82),3x3x3 Cube Second round,1,2023
20,Gašper Potočnik,10.19,,12.05,,si,12.29 (10.19) 11.78 (13.45) 12.09,3x3x3 Cube Second round,1,2023
21,David Šiška,11.30,,12.06,,si,(22.35) (11.30) 11.45 11.75 12.97,3x3x3 Cube Second round,1,2023
22,Marcel Niedl,11.37,,12.18,,at,12.69 (11.37) (13.20) 12.11 11.73,3x3x3 Cube Second round,1,2023
23,Tomaž Saje,10.05,,12.30,,si,(10.05) 12.80 13.51 10.60 (15.69),3x3x3 Cube Second round,1,2023
24,Erik Červek Roškarič,11.01,,12.32,,si,12.19 11.17 (11.01) (13.90) 13.60,3x3x3 Cube Second round,1,2023
25,Filip Barbirič Frank,9.96,,12.85,,si,13.65 12.41 12.50 (DNF) (9.96),3x3x3 Cube Second round,1,2023
26,Simon Mars,10.69,,13.03,,si,13.69 13.46 (14.74) 11.94 (10.69),3x3x3 Cube Second round,1,2023
27,Jakob Hladnik,10.01,,13.28,,si,13.26 12.74 13.85 (10.01) (21.86),3x3x3 Cube Second round,1,2023
28,Barbara Kralj,12.60,,13.45,,hr,(12.60) 13.69 13.39 13.27 (14.93),3x3x3 Cube Second round,1,2023
29,Bruno Ivančić,11.59,,13.59,,hr,14.16 12.02 14.58 (11.59) (21.51),3x3x3 Cube Second round,1,2023
30,Matej Bolta,11.97,,13.65,,si,(16.75) (11.97) 13.06 14.57 13.33,3x3x3 Cube Second round,1,2023
